;Given Name;Family Name;Role;ORCID ID;Keywords;H Index;Citations;Organization;Past Institutions;Department Code;Specific Field;Internal
124;Emil;Hristov;Professor;0000-0002-4339-8202;Nessuna;7;259;Sofia University Saint Kliment Ohridski;;;;External
125;Amin;Allam;;0000-0001-5137-0990;Nessuna;9;320;Senior Lecturer, Universiti Teknologi MARA, 40450, Shah Alam, Selangor, MALAYSIA;;;;External
126;B;SATHYA BAMA;;0000-0002-5217-2328;Nessuna;44;5107;Sathyabama Institute of Science and Technology;;;;External
127;Mariana;Pelicano de Almeida;;0009-0001-4373-4982;Nessuna;;;i3S - Instituto de Investigação e Inovação em Saúde, Universidade do Porto;;;;External
128;Richard;Adams;Professor;0000-0003-3915-7243;colorectal cancer, personalised treatment, survivorship, radiotherapy, palliation;54;13622;Cardiff University;;;;External
129;Daniel J.;Vis;;0009-0003-9522-5535;Nessuna;26;7329;The Netherlands Cancer Institute;;;;External
130;Aneta;Polewko-Klim;;0000-0003-1987-7374;Nessuna;8;654;Faculty of Computer Science, University of Bialystok;;;;External
131;Marc Thilo;Figge;Professor for Applied Systems Biology;0000-0002-4044-9166;image-baesd systems biology, host-pathogen interactions, image-baesdautomated image analysis, mathematical modeling, computer simulations;40;4628;Leibniz Institute for Natural Product Research and Infection  Biology - Hans Knöll Institute, Friedrich Schiller University Jena, Germany;;;;External
132;Richard;White;Research Affiliate;0009-0009-7273-9449;Nessuna;44;63720;University of Sydney;;;;External
133;Jiaojiao;Li;;0000-0001-9181-6467;Nessuna;29;3198;University of Technology Sydney;;;;External
134;Jonathan ;Gordon;;0000-0003-1232-315X;Nessuna;54;11379;University of Saskatchewan;;;;External
135;Petr;Smirnov;Doctor of Sciences;0000-0002-8844-3572;Value, activity, society. evolutuon;20;2105;Saint Petersburg State University ;;;;External
136;Chuan;Wang;;0000-0003-2220-6897;Nessuna;82;33195;North China University of Water Resources and Electric Power;;;;External
137;Keith;Boroevich;Technical Staff I;0000-0001-7095-7332;Nessuna;28;7354;RIKEN Center for Integrative Medical Sciences;;;;External
138;Dmitry;Bocharov;;0009-0009-9203-4753;Nessuna;18;878;Institute of Solide State physics, University of Latvia;;;;External
139;lang;li;;0000-0002-5719-434X;Nessuna;38;77271;Department of Electronics and Electrical Engineering, National Yang Ming Chiao Tung University;;;;External
140;Nicola;Lazzarini;;0000-0003-1783-5488;Nessuna;8;463;Newcastle University;;;;External
141;Aditya;Arora;;0000-0002-7194-3263;Nessuna;19;6781;Inception Institute of Artificial Intelligence;;;;External
142;Raquel;Bello;Research Assistant;0009-0001-0370-2572;Nessuna;25;2145;University of Wisconsin–Madison;;;;External
143;Moonshik;Shin;;0000-0001-8882-305X;Nessuna;1;4;Chapman University;;;;External
144;Claudine;Chaouiya;Associate Professor;0000-0003-2350-0756;Computational biology, Discrete dynamical systems, Logical modelling, Regulatory networks, Signalling networks;39;6317;Aix-Marseille University;;;;External
145;Chayaporn;Suphavilai;;0000-0002-4777-4586;Nessuna;13;3468;Genome Institute of Singapore;;;;External
146;Zhiqing;Xu;;0000-0001-5251-9603;Nessuna;47;7301;Karolinska Institute and Capital Medical University;;;;External
147;Barbara;Bryant;;0000-0001-5989-0499;Nessuna;28;7205;Constellation Pharmaceuticals;;;;External
148;Haichen ;Zhang ;;0000-0001-6829-3063;Nessuna;26;2283;Université Libre de Bruxelles;;;;External
149;Brian R.;Lawler;Professor of Mathematics Education;0000-0003-1030-5572;Nessuna;8;436;Kennesaw State University;;;;External
150;luca maria;Gambardella;;0009-0004-2555-1762;Nessuna;77;59372;Faculty of informatics, USI, IDSIA - USI-SUPSI, Artificialy SA, Lugano;;;;External
151;venkateswararao;cherukuri;;0000-0001-7854-2027;Nessuna;11;772;Qualcomm, Sandiego;;;;External
152;Robert;Vogel;;0000-0002-5758-8090;Nessuna;33;4785;Unknown affiliation;;;;External
153;Fenglong;Song;;0009-0002-1356-3227;Nessuna;13;813;Huawei Noah's Ark Lab;;;;External
154;GIULIA;BERNARDINI;;0000-0003-3491-2668;Nessuna;35;3960;University of Colorado Boulder;;;;External
155;Symeon;Symeonidis;;0000-0002-8166-2326;Nessuna;14;950;Democritus University of Thrace, ENORA Innovation;;;;External
156;Ivan;Merelli;;0000-0003-3587-3680;Nessuna;29;3389;Researcher in Bioinformatics, Institute for Biomedical Technologies;;;;External
157;Zheng;Ning;PhD Student;0000-0002-0451-6536;Nessuna;76;30173;Karolinska Institutet;;;;External
158;Annalisa;MASSINI;Associate Professor;0000-0001-8343-8929;Nessuna;18;885;Sapienza University of Rome;;;;External
159;HEEWON;LEE;;0000-0002-3780-9730;Nessuna;20;1294;Sejong University;;;;External
160;Matteo;Orrù;;0000-0001-6039-138X;Nessuna;12;444;Lastminute.com;;;;External
161;Mélanie;Courtot;Assistant professor;0000-0002-9551-6370;Bioinformatics, Ontology;30;12372;University of Toronto;;;;External
162;Zudi;Lin;Research Assistant;0000-0003-4176-8035;Deep Learning, Computer Vision, Connectomics;35;4547;Harvard University;;;;External
163;Allyson;Lister;;0000-0002-7702-4495;Nessuna;18;4822;University of Oxford;;;;External
164;Neil;Swainston;;0000-0001-7020-1236;Nessuna;38;8331;University of Liverpool;;;;External
165;Yves;Scherrer;;0000-0001-5247-5073;Natural language processing, dialects and closely related languages, machine translation, dialectome;25;2212;University of Helsinki;;;;External
166;Hidde;de Jong;;0000-0002-2226-650X;Nessuna;38;9381;INRIA;;;;External
167;Fernando;Perales;;0000-0002-0623-4989;Nessuna;8;247;JOT INTERNET MEDIA (Head of Research Lab);;;;External
168;Binbin;Song;;0000-0001-9926-7490;Nessuna;5;106;University of Macau;;;;External
169;Jiye;Liu;;0000-0003-0632-3233;Nessuna;11;642;Dana-Farber Cancer Institute;;;;External
170;Tero;Aittokallio;;0000-0002-0886-9769;Nessuna;71;17830;University of Helsinki;;;;External
171;Marat;Kazanov;Head of the Translational Bioinformatics Group;0000-0002-2314-5507;Nessuna;43;13263;Institute for Information Transmission Problems;;;;External
172;paola;Bonizzoni;;0000-0001-6849-7568;Nessuna;27;2472;University of Milano Bicocca;;;;External
173;Ilya;Kiselev;;0000-0002-8630-1108;Nessuna;14;900;Breitmeier Messtechnik GmbH;;;;External
174;Fanglong;Liu;;0000-0002-7706-186X;Nessuna;5;151;Baidu;;;;External
175;Dries;De Maeyer;;0000-0002-1314-3348;Nessuna;11;1405;Unknown affiliation;;;;External
176;Andreas;Dräger;Professor;0000-0002-1240-5553;Information Visualization, Systems Biology Modeling, Software Engineering;36;6842;Martin Luther University Halle-Wittenberg;;;;External
177;Rui;Song;;0000-0002-3383-6504;Nessuna;37;5236;North Carolina State University;;;;External
178;DongWon;Park;;0000-0001-9146-9872;Nessuna;30;3601;Unknown affiliation;;;;External
179;Fabio;Sartori;;0000-0001-8653-8837;Nessuna;16;807;Professor do Programa de Pós Graduação em Engenharia de Produção e Sistemas - PPGEPS UNISINOS;;;;External
180;seung wook;kim;;0000-0003-1817-2516;Nessuna;14;1793;NVIDIA;;;;External
181;Franziska;Klügl;Professor;0000-0002-1470-6288;Multiagent Systems, Artificial Intelligence, Modelling and Simulation, Visual Programming;;;Örebro Universitet;;;;External
182;bingchen;Li;;0000-0001-7802-8642;Nessuna;16;779;Harvard Medical School;;;;External
183;Carlos;De Niz;Research Fellow;0000-0003-3832-0280;Bioinformatics, Computational Biology, Data Science, Engineering;5;164;Harvard Medical School;;;;External
184;Divi Galih Prasetyo;Putri;;0009-0000-7783-9937;Nessuna;6;112;Universitas Gadjah Mada;;;;External
185;Lukas;Endler;Postdoc;0000-0002-9115-8756;Nessuna;20;4021;Medizinische Universität Wien;;;;External
186;Paolo;Baili;;0000-0003-0335-2418;Nessuna;;;Fondazione IRCCS Istituto Nazionale dei Tumori;;;;External
187;Zhi-Kai;Huang;;0000-0003-1252-2001;Nessuna;11;750;National Taiwan University;;;;External
188;Samuel;Kaski;;0000-0003-1925-9154;machine learning, probabilistic modeling, information visualization, computational biology, computational medicine, bioinformatics, brain signal analysis, information retrieval, proactive interfaces, user modeling;73;21895;Professor, Aalto University and University of Manchester;;;;External
189;Pierre;Neuvial;;0000-0003-3584-9998;Nessuna;20;11884;CNRS, Institut de Mathématiques de Toulouse;;;;External
190;Hongwei;Yong;;0000-0001-7603-6497;Nessuna;19;3354;Research Assistant Professor  in the Hong Kong Polytechnic University;;;;External
191;Fu;Li;;0000-0003-4080-8736;Nessuna;40;64699;Baylor College of Medicine;;;;External
192;David;Wang;;0000-0001-9552-316X;Nessuna;68;41206;Analyst: Climate Finance, Climate Policy Initiative;;;;External
193;Yuanfang;Guan;;0000-0001-8275-2852;Nessuna;;;University of Michigan;;;;External
194;Ana Belen;Malpartida;;0009-0006-3175-4544;Nessuna;5;427;Biomedizinisches Centrum München - LMU München;;;;External
195;Tao-tao;Zhang;;0000-0003-4661-4959;Nessuna;6;288;Institute of Tibetan Plateau Research, Chinese Academy of Sciences;;;;External
196;Stephanie;Huang;;0009-0003-5266-3527;Nessuna;49;10602;Fellow Health;;;;External
197;Sandi;Gec;;0000-0003-2331-4523;Nessuna;;;University of Ljubljana;;;;External
198;Emek;Demir;Associate Professor;0000-0002-3663-7113;Nessuna;39;11039;Oregon Health & Science University;;;;External
199;Gabriele;Ferrario;;0000-0001-8876-6323;Nessuna;6;83;Research Associate, University of Bologna;;;;External
200;Marcello;Gallucci;;0000-0003-3546-0093;Nessuna;42;8416;Dep. of Psychology, University Milano-Bicocca;;;;External
201;Tom;Wurdinger;;0000-0001-9849-9011;Nessuna;;;VU;;;;External
202;BO;WANG;;0000-0002-3060-1419;Nessuna;162;145991;普林斯顿大学物理学教授;;;;External
203;Pekka;Marttinen;;0000-0001-7078-7927;Nessuna;34;10000;Aalto University;;;;External
204;David;Knowles;JET Safety Liason  ;0000-0002-4235-6844;Nessuna;38;10991;UKAEA;;;;External
205;Joseph;Usset;Data Scientist;0000-0002-5820-9881;Statistics, Bioinformatics, Data Science;8;543;Apple Inc;;;;External
206;Óscar;Espitia;;0000-0002-6035-2994;Nessuna;26;2310;Departamento de Fisicoquímica - Universidad de Granada;;;;External
207;Ali;Hmaity;;0000-0003-4424-0674;Nessuna;95;55403;Humanity;;;;External
208;Aurélien;Naldi;Researcher;0000-0002-6495-2655;Nessuna;27;4938;Inria Centre de Recherche Saclay-Île-de-France;;;;External
209;Dylan;Skola;Bioinformatics Scientist;0000-0002-3655-1643;Nessuna;;;Illumina, Inc.;;;;External
210;silvia;spinelli;;0000-0003-4492-1680;Nessuna;59;10792;Dra en Física, Facultad de Ciencias Exactas, UNLP;;;;External
211;DAVIDE;MASPERO;;0000-0002-4268-6827;Nessuna;13;541;Single Cell Genomics Team - Centre Nacional d’Anàlisi Genòmica (CNAG-CRG), Barcelona, Spain;;;;External
212;Xiaobing;Wang;;0000-0003-3495-0795;Nessuna;78;19100;John Hopkins University, Bloomberg School of Public Health;;;;External
213;Bumjun;Park;;0000-0003-3783-8272;Nessuna;40;5201;Associate Professor, Kyung Hee University, Korea;;;;External
214;Hanwen;Liu;;0000-0002-5393-9594;Nessuna;20;1865;Curtin University;;;;External
215;Andrey;Ignatov;;0009-0003-6945-3489;Nessuna;23;3768;ETH Zurich;;;;External
216;EMANUELE;PRETI;;0000-0001-5207-4579;Nessuna;25;3404;Unknown affiliation;;;;External
217;Sofia;Bressan;;0000-0002-5765-1248;Nessuna;4;98;Unknown affiliation;;;;External
218;Chuansheng;Wang;;0000-0001-7409-7448;Nessuna;8;242;Research Fellow, PhD, National University of Singapore;;;;External
219;Giulia;Pugliese;;0009-0006-3378-160X;Nessuna;;;Agostino Gemelli University Polyclinic;;;;External
220;Alexander T. J.;Barron;;0000-0002-3761-7683;Nessuna;5;327;Post-doctoral Associate, NYU Abu Dhabi;;;;External
221;Mauro;Dell'Amico;Full professor;0000-0002-3283-6131;Nessuna;;;Università degli Studi di Modena e Reggio Emilia;;;;External
222;MIJIN;KWON;;0000-0003-3767-2153;Nessuna;4;64;Samsung Electronics;;;;External
223;Tjeerd;Dijkstra;;0000-0002-4450-701X;Systems Biology, Bioinformatics, Machine Learning;24;2494;University Clinic Tubingen;;;;External
224;Julia;Hopkins;;0000-0002-0447-9157;Nessuna;122;67248;Professor, Wills Eye, Hopkins, Jefferson;;;;External
225;Samik;Ghosh;;0000-0002-1633-0130;Nessuna;135;87194;Assistant Professor, Department of Physics, Indian Institute of Technology Hyderabad;;;;External
226;Valentina;Dorigatti;;0000-0002-2069-9774;Nessuna;3;55;Unknown affiliation;;;;External
227;peter;morales;;0000-0002-9871-0806;Nessuna;8;303;Microsoft;;;;External
228;Salman;Khan;;0000-0003-2402-363X;Nessuna;77;26180;MBZUAI, Australian National University;;;;External
229;Bo;van Engelen;PhD;0000-0002-1652-3944;Nessuna;;;Maastricht University;;;;External
230;junyu;chen;;0000-0002-7194-5218;Nessuna;32;2994;West China Hospital of Stomatology, Sichuan University;;;;External
231;Simone;Scaboro;;0000-0003-2533-1298;Nessuna;6;64;University of Udine;;;;External
232;Jinseub;Hwang;;0000-0002-3805-1546;Statistics, Bayesian, Medical Statistics, Daegu University;20;1870;Daegu University;;;;External
233;Riccardo;Riva;;0000-0002-2042-5669;Solid Earth Geophysics, Global Geodynamics, Sea Level Change, Glacial Isostatic Adjustment, Viscoelastic deformation, Post-seismic Deformation;39;6302;Delft University of Technology;;;;External
234;Stefano;Pirro;;0000-0001-5160-7396;Bolometers, Double beta decay;;;INFN resercher;;;;External
235;liye;he;;0000-0003-1797-9385;Nessuna;11;1221;Postdoc, University of Helsinki;;;;External
236;Chongyi;Li;;0000-0003-3953-7692;Nessuna;47;13718;Professor, Nankai University;;;;External
237;Yulun;Zhang;;0000-0002-4068-5361;Nessuna;51;22298;Associate Professor, Shanghai Jiao Tong University;;;;External
238;Di;He;;0000-0002-1735-6279;Nessuna;43;9911;Peking University;;;;External
239;Ioannis;Xenarios;;0000-0002-3413-6841;computational biology, bioinformatics, immunology, biochemistry;87;58873;UNIL/CHUV/Health2030 Genome Center;;;;External
240;Eyal;Ben Zion;Data Scientist;0000-0003-3046-2217;Machine Learning, Data Scientist, Statistics;5;238;Cerebri AI;;;;External
241;Yanlin;Qian;;0000-0003-3216-7852;Nessuna;9;581;DJI/Hasselblad, Tampere University;;;;External
242;John;See;;0000-0003-3005-4109;Nessuna;37;5141;Heriot-Watt University;;;;External
243;Mathilde;Bateson;;0000-0002-3931-8249;Nessuna;9;401;ETS Montréal;;;;External
244;Mikhail;Zaslavskiy;;0009-0004-8379-4068;Nessuna;17;2802;Unknown affiliation;;;;External
245;Ryan;Miller;Associate Professor of Higher Education;0000-0002-1855-9887;Nessuna;61;29326;UNC Charlotte;;;;External
246;Angeliki-Ilektra;Karaiskou;;0000-0001-7982-1941;Nessuna;1;1;KU Leuven;;;;External
247;Kyung;Kim;;0000-0002-7353-6362;Nessuna;62;25885;Department of Applied Chemistry, Kyung Hee University;;;;External
248;Lucia;Clemente;;0000-0002-9617-2813;"COVID-19; rendimiento escolar; educación online; estudiantes universitarios; educación superior";4;44;Instituto de Investigaciones Biológicas Clemente Estable;;;;External
249;MARIO;MAURI;;0000-0002-5876-6215;Nessuna;15;934;post doctoral position, University of milano Bicocca;;;;External
250;Rim;Faiz;;0000-0003-4952-2136;Nessuna;17;1141;Professeur en Informatique, IHEC, Université de Carthage;;;;External
251;Lester;Mackey;;0000-0002-1102-0387;Nessuna;41;6379;Microsoft Research;;;;External
252;Stephen;Capuzzi;Postdoctoral Fellow;0000-0003-0001-8211;Computational Chemistry, Cheminformatics, Bioinformatics, Protein-Protein Interactions, Structure-based Docking, Molecular Dynamics, Molecular Modeling, Data Mining, Small-world Networks, Exome Analysis, Cell Culture, Molecular Biology, NMR;26;2048;UNC Catalyst for Rare Diseases;;;;External
253;Antonia;Bertolino;Research Director;0000-0001-8749-1356;Nessuna;49;9234;Consiglio Nazionale delle Ricerche;;;;External
254;Juntae;Kim;;0000-0003-0318-0118;Nessuna;40;4805;Elsevier;;;;External
255;Xiumei ;Wang ;;0000-0001-9380-5235;Nessuna;10;2298;Xidian University;;;;External
256;Lodewyk;Wessels;Professor;0000-0002-1656-6995;Nessuna;96;50306;Delft University of Technology;;;;External
257;Peter;Gehler;;0000-0002-5812-4052;computer vision, machine learning;42;16053;Amazon.com;;;;External
258;Eiji;Kaneko;;0000-0003-1840-5551;Nessuna;5;68;NEC Corporation;;;;External
259;Arnoldo ;Frigessi;;0000-0001-7103-7589;Nessuna;46;9309;University of Oslo;;;;External
260;Abdullah M.;Khamis;;0000-0002-5945-0159;Nessuna;6;545;King Abdullah University of Science and Technology (KAUST);;;;External
261;Davide;Rossi;;0000-0002-7764-6745;Nessuna;40;6184;Associate Professor, University Of Bologna;;;;External
262;Douglas;Kell;;0000-0001-5838-7963;Systems Biology - omics - analytics - iron - drug transporters, deep learning - microbial dormancy;133;74485;The University of Manchester;;;;External
263;Jiawei;Wu;;0000-0003-2629-8776;Nessuna;43;10091;Unknown affiliation;;;;External
264;Mushthofa;Mushthofa;Lecturer & Researcher;0000-0003-4991-4148;artificial intelligence, machine learning, bioinformatics, declarative programming, network biology;16;3312;Bogor Agricultural University;;;;External
265;Francesco;Calimeri;;0009-0009-7447-1204;Nessuna;27;3078;Associate Professor of Computer Science, University of Calabria (UNICAL), Italy;;;;External
266;Fan;Fan;;0000-0003-3654-6155;Nessuna;231;219107;James Wilson is a 31-year-old sports content creator from Manchester, UK. He is a huge football fan and supports his local team. With ATZ Sport, he focuses on providing live sports streams to users all over the world. This would require a lot of technical expertise and resources. However, with his passion for sports, he would work tirelessly to ensure that the website offers a seamless and high-quality streaming experience for all users. In addition, he would also aim to create a community of sports fans and enthusiasts on the website, fostering a sense of belonging and engagement among users.  #ATZsport #ATZfootball #atzsports247 #atzsportstoday About me:  Website: https://atzsport.com/   Email: JamesWilsonATZsport@gmail.com Address: Manchester, UK;;;;External
267;Camir;Ricketts;;0000-0001-9614-7610;Nessuna;10;730;PhD Candidate, Weill Cornell Medicine;;;;External
268;Xiaotao;Wang;;0000-0003-4078-6514;Nessuna;13;966;Fudan University;;;;External
269;Sabarinathan;Sabarinathan;Business Consultant: Medical Writing Services;0009-0005-1904-3718;Nessuna;27;9585;Tata Consultancy Services (India);;;;External
270;Hannah;Carter;;0000-0003-0492-3569;Nessuna;45;31353;Associate Professor, University of California San Diego;;;;External
271;Alok;Sharma;;0000-0002-5329-7405;Nessuna;61;15282;KTH Royal Institute of Technology;;;;External
272;Armando;Santoro;Director of Humanitas Cancer Center;0000-0003-1709-9492;Humanitas Clinical and Research Center – IRCCS -, via Manzoni 56, 20089 Rozzano (Mi) – Italy;123;84674;IRCCS Humanitas Research Hospital;;;;External
273;Shijie;Zhao;;0000-0001-5035-4104;Nessuna;34;5247;CMAR, CSIRO;;;;External
274;Lieven;Verbeke;;0000-0003-1909-8119;Nessuna;23;4171;Centrica Business Solutions;;;;External
275;Joaquin;Dopazo;Director;0000-0003-3318-120X;Nessuna;90;36735;Fundación Progreso y Salud;;;;External
276;FABIO;MADEDDU;;0000-0003-3768-770X;Nessuna;29;4525;Full Professor of Clinical Psychology, University of Milan Bicocca;;;;External
277;Emanuele ;Aiello;;0000-0001-7133-4137;Nessuna;11;583;A.O.U. Policlinico Vittorio Emanuele di Catania;;;;External
278;Amir;Bernat;;0000-0003-4439-3953;Nessuna;4;105;Algorithms engineer, MobileODT inc.;;;;External
279;Pengju;Liu;;0000-0001-6424-6139;Nessuna;34;3959;Institute of Geology, Chinese Academy of Geological Science;;;;External
280;James;Karp;ESD group manager, Principal Eng.;0000-0001-5712-0036;Nessuna;4;63;Xilinx Inc;;;;External
281;Tim;Herpelinck;;0000-0002-4500-4676;Nessuna;5;169;KU Leuven;;;;External
282;Marcos;da Silva Almeida;;0000-0002-1109-6306;Nessuna;11;556;PhD Student, University Pierre Marie Curie;;;;External
283;Chaitra;Desai;;0000-0001-6835-0136;Nessuna;12;388;KLE Technological University;;;;External
284;Jouhyun;Jeon;Principal Investigator;0000-0003-2236-2849;Nessuna;18;1104;Klick Inc;;;;External
285;Li-Li;Zhang;;0000-0002-5195-1418;Nessuna;2;17;Assistant Professor of Rehabilitation, HUE, China.;;;;External
286;Kazutoshi;Akita;;0000-0002-4170-5344;Object Detection, Super Resolution;17;945;Akita University;;;;External
287;Seo-Won;Ji;;0000-0001-8700-8440;Nessuna;9;966;Korea University;;;;External
288;Sanja;Baric;Associate Professor;0000-0002-4359-3817;Nessuna;23;2383;Free University of Bozen-Bolzano;;;;External
289;LUCA;CROCIANI;Post-Doctoral Researcher;0000-0002-4660-4622;Modelling and Simulation, Artificial Intelligence, Complex Systems, Traffic Dynamics;;;University of Milano-Bicocca;;;;External
290;rui;XIN;;0000-0001-8369-6936;Nessuna;32;4883;Tongji University;;;;External
291;Pengliang;Tang;;0009-0008-9519-0092;Nessuna;1;92;Beijing University of Posts and Telecommunications;;;;External
292;Zhezhu;Jin;;0000-0001-8512-1415;Nessuna;5;190;Engineer, Samsung Research China-Beijing;;;;External
293;Shakarim;Soltanayev;;0000-0003-3184-6933;Nessuna;7;469;Research Scientist, Sony Interactive Entertainment;;;;External
294;Ruiqi;Wu;;0000-0002-2919-4158;Nessuna;6;316;Nankai University;;;;External
295;Boaz;Lerner;;0000-0003-0165-3663;Nessuna;28;2303;Ben-Gurion University of the Negev;;;;External
296;Kevin;Shopsowitz;;0000-0003-3988-0837;Nessuna;28;5508;University of British Columbia;;;;External
297;Fatima;ES-SABERY;;0000-0002-6158-4148; DataMining, BigData ,WSNs, fuzzy systems, machine learning, deep l;7;197;Unknown affiliation;;;;External
298;xiangyu;chen;;0000-0002-6419-273X;Nessuna;58;12492;Beijing institute of nanoenergy and nanosystems, Chinese Academy of Science;;;;External
299;Takeshi;Hase;;0000-0001-6679-6935;Nessuna;14;1284;The System Biology Institute;;;;External
300;Johan;Elf;senior consultant;0000-0003-0006-4082;Nessuna;46;12789;Skånes universitetssjukhus Lund Hematologiska kliniken;;;;External
301;Siyuan;Yang;;0000-0002-4881-7760;Nessuna;26;1922;School of Resource and Environment Engineering, Wuhan University of Technology;;;;External
302;Gordon;Ball;;0000-0001-7175-422X;Nessuna;9;770;University of Minnesota, SOFIA Science Center, Ball Aerospace;;;;External
303;Eugene;Muratov;;0000-0003-4616-7036;Nessuna;56;13528;University of North Carolina;;;;External
304;Maitreya;Suin;;0000-0002-0004-181X;Nessuna;19;1392;Johns Hopkins University;;;;External
305;Seonyeong;Park;;0000-0003-1767-6448;Nessuna;8;275;University of Illinois Urbana-Champaign;;;;External
306;Colin;Gillespie;CTO;0000-0003-1787-0275;Nessuna;31;2828;Jumping Rivers;;;;External
307;Catalina;Anghel;Computational Research Scientist;0000-0001-7569-5319;Nessuna;6;239;Canadian Nuclear Laboratories;;;;External
308;John;Reid;Assistant Professor;0000-0002-7390-2094;Restoration Ecology, Tropical Forest Restoration, Seed Dispersal, Epiphyte, Restoration Longevity, Bird, Bat, Costa Rica;83;34385;Virginia Tech;;;;External
309;Fabrizio;Smeraldi;;0000-0002-0057-8940;Nessuna;24;2324;Senior Lecturer in AI, Queen Mary, University of London;;;;External
310;Dario;Bertazioli;;0000-0001-8566-7223;Nessuna;3;158;University of Milano-Bicocca;;;;External
311;Chris;de Graaf;VP, Head of Computational Drug Discovery and Data Science;0000-0002-1226-2150;cheminformatics, medicinal chemistry, chemogenomics, bioinformatics, computer-aided drug design;59;10984;Structure Therapeutics;;;;External
312;Minji;Jeon;;0000-0002-0301-2221;Computer Science Education, Computational Thinking, Computer-Supported Collaborative Learning;42;5382;Indiana University;;;;External
313;Ugo;Becciani;Researcher;0000-0002-4389-8688;Nessuna;35;29988;INAF - Osservatorio Astrofisico di Catania;;;;External
314;Florian;Mittag;Professor for Artificial Intelligence in Visual Computing;0000-0002-6472-0221;machine learning, artificial intelligence, semantic web;12;1133;Hochschule für angewandte Wissenschaften Coburg;;;;External
315;Luigi;Pedone;Radiologist;0000-0003-2988-9678;Nessuna;22;2180;IRCCS Istituto Ortopedico Galeazzi;;;;External
316;Dennis;Wang;;0000-0001-7554-9610;Nessuna;39;16033;Professor (Chair in Biomedical Data Science), A*STAR & Imperial College London;;;;External
317;Jiadong;Ji;;0000-0003-3562-8861;Nessuna;15;883;Associate Professor, Shandong University;;;;External
318;Fitsum Meshesha;Kifetew;Researcher;0000-0003-1860-8666;software testing, search-based software engineering, software engineering, requirements engineering;19;1336;Fondazione Bruno Kessler;;;;External
319;Sondess;MISSAOUI;;0000-0001-5065-8618;Nessuna;8;309;Research Associate in Artificial Intelligence, University of York;;;;External
320;FRANCANTONIO;DEVOTO;;0000-0002-3240-2341;Nessuna;7;245;Postdoctoral Research Fellow, University of Milano-Bicocca;;;;External
321;Jouni;Sirén;Associate Research Scientist;0000-0001-5828-4139;Nessuna;22;3391;University of California, Santa Cruz;;;;External
322;Xiaohui;Xie;;0000-0001-6784-816X;Nessuna;73;42994;Professor of Computer Science, University of California, Irvine;;;;External
323;Pablo;Navarrete Michelini;;0000-0002-6293-9668;Nessuna;18;1292;Independent Researcher;;;;External
324;Benjamin;van Wyk de Vries;;0000-0001-7232-0693;Nessuna;46;6118;Unknown affiliation;;;;External
325;Francesco;Di Pietto;PHD;0000-0002-3924-3961;Nessuna;12;625;Pineta Grande Srl;;;;External
326;Yijian;Zhang;;0000-0001-7376-2768;Nessuna;12;388;Central South University;;;;External
327;Iwan;de Kok;Postdoctoral Researcher;0009-0007-6430-4969;Nessuna;13;854;Bielefeld University;;;;External
328;Ronan MT;Fleming;Associate Professor;0000-0001-5346-9812;Nessuna;44;13103;University of Galway;;;;External
329;valeria;blasi;Researcher;0000-0002-8395-0452;borderline intellectual functioning, neuroimaging, brain development, brain tumors;24;2793;Fondazione Don Carlo Gnocchi;;;;External
330;Alexander;Belokopytov;researcher;0000-0001-9698-7206;Nessuna;5;86;Institute for Information Transmission Problems;;;;External
331;Andrea;Aquino;;0000-0002-9524-6024;Nessuna;19;1899;Professor of Computer Science, Federal University of Alagoas;;;;External
332;Gianni;Cesareni;;0000-0002-9528-6018;Nessuna;87;33889;University of Rome Tor Vergata;;;;External
333;Miguel;Rocha;;0000-0001-7456-8764;Nessuna;38;7110;Associate Professor, Dept. Informatics and Centre Biological Engineering, Universidade do Minho;;;;External
334;Francesco;Marabita;;0000-0001-6180-0106;Nessuna;22;4140;Karolinska University Hospital;;;;External
335;Claudio;Feliciani;Project Associate Professor;0000-0003-0718-8707;Nessuna;48;9089;The University of Tokyo;;;;External
336;Yong-Guk;Kim;;0000-0003-4645-1395;Nessuna;18;1392;Prof. Computer Eng., Sejong University;;;;External
337;Michele;Carbonera;;0009-0000-3537-1977;Nessuna;1;1;University of Milano-Bicocca;;;;External
338;Vishal;Monga;Associate Professor;0000-0002-5100-2263;Nessuna;45;11406;Pennsylvania State University;;;;External
339;ling;shao;;0000-0002-7974-4744;Nessuna;131;71357;Taizhou University;;;;External
340;Sara;Manzoni;Junior Researcher;0009-0008-5921-1351;Nessuna;21;2013;IRCCS Istituto Auxologico Italiano;;;;External
341;Billur;Engin Balin;Associated Professor;0000-0001-7850-9075;Nessuna;8;183;Istanbul University;;;;External
342;Kwanghun;Choi;;0000-0002-9115-1239;Nessuna;9;236;Chonnam National University, Gwang-Ju, Republic of Korea;;;;External
343;Davide;Cozzi;;0000-0003-2439-0608;Nessuna;27;2256;Institute for Plasma Science and Technology, CNR, via Cozzi 53, 20125 Milan, Italy;;;;External
344;Alberto;ALIPRANDI;Professori a tempo determinato;0000-0001-8577-8433;Nessuna;23;2319;Universita' di Milano Bicocca;;;;External
345;Fernanda;Strozzi;;0000-0003-0995-8824;Nessuna;33;5306;Università Carlo Cattaneo -LIUC;;;;External
