,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
680,0000-0001-6552-2609,0000-0001-6552-2609,Gran Sasso Science Institute,APPROVED,Assistant Professor - Tenure Track,2021,"Software Engineering, Model Driven Development, Software Quality Evaluation, Smart Cities",98,Ludovico,Iovino
681,0000-0003-3033-3044,0000-0003-3033-3044,Tampere University,APPROVED,,N/A,"Machine Learning, Deep Learning, Neural Networks",19,Francesco,Lomio
682,0000-0001-7037-5180,0000-0001-7037-5180,N/A,APPROVED,N/A,N/A,N/A,0,yunchen,zhang
683,0000-0002-2705-5728,0000-0002-2705-5728,Fondazione Bruno Kessler,APPROVED,Senior Researcher,2006,"bioinformatics, computational biology, network theory, systems biology, algebra, Lie algebras",92,Giuseppe,Jurman
684,0000-0002-0969-6484,0000-0002-0969-6484,N/A,APPROVED,N/A,N/A,N/A,26,Marta,Corbella
685,0000-0002-5739-742X,0000-0002-5739-742X,N/A,APPROVED,N/A,N/A,N/A,15,Alessandra,Cinque
686,0000-0001-8220-9833,0000-0001-8220-9833,Fondazione IRCCS Istituto Nazionale dei Tumori,APPROVED,,N/A,N/A,179,Trama,Annalisa
687,0000-0001-8457-6979,0000-0001-8457-6979,EPFL - École Polytechnique Fédérale de Lausanne,APPROVED,,2023,N/A,9,Francesco,Craighero
688,0000-0001-8519-4331,0000-0001-8519-4331,Centre Nacional d'Anàlisi Genòmica,APPROVED,Postdoctoral Fellow,2022,"computational biology, single-cell genomics, system biology",19,Davide,Maspero
689,0000-0002-3623-7822,0000-0002-3623-7822,N/A,APPROVED,N/A,N/A,N/A,8,Salvatore,Gitto
690,0000-0001-8706-6480,0000-0001-8706-6480,Politecnico di Milano,APPROVED,Teaching Assistant,2023,N/A,20,Nicola,Lambri
691,0000-0003-3371-1928,0000-0003-3371-1928,N/A,APPROVED,N/A,N/A,N/A,82,Francesco,Bianconi
692,0000-0001-9225-1795,0000-0001-9225-1795,Ospedale San Raffaele,APPROVED,,N/A,N/A,241,umberto,capitanio
693,0000-0002-9554-9367,0000-0002-9554-9367,University of Milano-Bicocca,APPROVED,Assistant Professor,2022,"computational neuroscience, EEG, AI, machine learning, deep learning",46,Giulia,Cisotto
694,,,,,,,,,,
695,0000-0001-7426-4795,0000-0001-7426-4795,N/A,APPROVED,N/A,N/A,N/A,244,CLAUDIO AGOSTINO,ARDAGNA
