"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
1053,"0000-0003-4996-7995","Stefano","Calza","Full Professor","Biostatistics, Medical Statistics, Bioinformatics, Computational Biology","Università degli Studi di Brescia",48,9029
1054,"0000-0002-1562-1294","Sungjoon","Park","","Nessuna","Electrical and Computer Engineering, Ajou University",29,5770
1055,"0000-0002-6028-627X","Lin-lin","Liu","","Nessuna","","",""
1056,"0000-0001-7499-0092","Dana","Silverbush","Postdoctoral fellow","Nessuna","Broad Institute","",""
1057,"0000-0002-6936-9338","Qiangqiang","Yuan","","Nessuna","Full Professor in School of Geodesy and Geomatics, Wuhan university",59,13897
1058,"0000-0003-0876-7305","Woochang","Hwang","","Bioinformatics, Drug discovery","Milner Therapeutics Institute",8,1350
1059,"0000-0003-4287-5334","Sherif","Farag","","Nessuna","GreeNovel Inc. (www.GreeNovel.com)",17,1081
1060,"0000-0002-9920-8877","Dessislava","Petrova-Antonova","Associate professor","Nessuna","Sofia University ""St. Kliment Ohridski""",12,646
1061,"0000-0002-1017-4835","Andrey","Voronkov","","Nessuna","The University of Manchester; EasyChair",43,8942
1062,"0009-0001-6032-5873","Christopher","Bare","","Nessuna","Senior Software Engineer",19,2423
1063,"0000-0003-3831-9706","Roberto","Navigli","Full Professor","Natural Language Processing, Computational Linguistics, Artificial Intelligence","Università degli Studi di Roma La Sapienza",73,27368
1064,"0000-0002-6682-2694","wei-wei","Li","","Nessuna","UMR 7250 ARTEMIS, CNRS, Observatoire de la Côte d'Azur, Université de Nice Sophia Antipolis",49,45155
1065,"0000-0003-4638-5914","ming","hong","","Nessuna","The Edu U of Hong Kong (ZUST, Jinan U, SUSTech, PKU-SZ, ZAFU, HKBU, CUHK)",143,77522
1066,"0000-0001-5048-2923","Thomas","Pfau","","Nessuna","Aalto University",11,1739
1067,"0000-0002-8067-9070","Ujwala","Patil","","Nessuna","School of ECE, KLE Technological University (Earlier known as BVBCET)",12,610
1068,"0000-0001-6295-3278","Zhihao","Li","","Nessuna","Emory University",33,3452
1069,"0000-0003-1862-4172","Mathias Johan Philip","Creutz","","Nessuna","University of Helsinki","",""
1070,"0000-0002-6287-4083","Daria","Senshina","Computer Vision engineer","Nessuna","Evocargo LLC","",""
1071,"0000-0002-5046-3105","Jan","Červený","Head of Domain","biotechnology, artificial intelligence, systems biology, computational modeling, microalgae, cyanobacteria, photosynthesis, biological rhythms, evolutionary optimization, control theory, automation","Global Change Research Institute CAS",23,1834
1072,"0000-0002-4657-6705","Jung-Hsien","Chiang","Distinguished Professor","Nessuna","National Cheng Kung University",34,4565
1073,"0000-0001-5553-4702","Frank","Bergmann","","Systems Biology, Computational Biology, Modeling, Simulation","Ruprecht Karls Universität Heidelberg",23,2178
1074,"0000-0001-7030-8690","Leandro","Watanabe","","Nessuna","","",""
1075,"0000-0003-2449-1724","Roberto","Pietrantuono","","Nessuna","University of Naples Federico II",29,2584
1076,"0000-0003-3286-7736","James","Schaff","","Nessuna","Lecturer Emeritus, University of California, Davis",6,639
1077,"0000-0002-0635-4729","Giulia ","Rizzi","","Nessuna","University of Milano-Bicocca",6,226
1078,"0000-0003-3116-2945","jian jian","peng","","Nessuna","Helixon",66,18699
1079,"0000-0003-4819-4679","Wushao","Wen","","Nessuna","Sun Yat-sen University",19,1080
1080,"0000-0003-0663-199X","Jinghui","Qin","","Nessuna","Guangdong University of Technology",18,1316
1081,"0009-0001-4855-8260","Iva","Krasteva","Researcher","Nessuna","Sofia University","",""
1082,"0000-0003-2265-3881","Maxim","Grechkin","","Nessuna","University of Washington",8,358
1083,"0000-0002-7725-6667","Antonio","Carrieri","","Nessuna","","",""
1084,"0009-0000-7904-9912","Taesung","Kwon","","Nessuna","KAIST, Ph.D. Candidate",6,905
1085,"0000-0001-8275-6482","Michela","Assale","","Nessuna","Astronomical observatory of VdA",5,230
1086,"0000-0001-8103-4998","Yousang","Jo","Senior Researcher","Bioinformatics, Multi-omics, Computational biology","Korea Institute of Oriental Medicine",3,25
1087,"0000-0003-4182-7103","Stefano","BERETTA","","Nessuna","Dept. Mechanical Engineering, Politecnico di Milano",47,8250
1088,"0000-0002-2851-712X","Massimo","LOCATELLI","","Nessuna","Università Cattolica del Sacro Cuore",23,1925
1089,"0000-0002-5089-8942","ELISA","ROJAS","","Nessuna","Universidad Carlos III de Madrid",14,914
1090,"0000-0001-8007-7814","Jin","Guo","","Nessuna","The University of Texas at Dallas",62,13298
1091,"0000-0001-9897-8768","Veronica","Dal Sasso","Operations Research Scientist","Nessuna","Optrail","",""
1092,"0000-0002-7517-3796","Koichi","Takahashi","","Nessuna","The University of Texas MD Anderson Cancer Center",45,8217
1093,"0000-0002-6822-9536","Fatma-Elzahraa","Eid","","Nessuna","Broad Institute of MIT and Harvard",8,533
1094,"0000-0003-4292-2049","Artem","Nikonorov","","Nessuna","Samara National Research University",17,1318
1095,"0000-0002-9038-7071","YunSeong","Kim","","Nessuna","Laboratory for Systems Biology and Bio-Inspired Engineering, KAIST",2,331
1096,"0000-0002-3181-3704","Xiaochao","Qu","","Nessuna","","",""
1097,"0000-0002-6813-4692","Daniel","Leitner","","Nessuna","Simulationswerkstatt",26,3569
1098,"0000-0003-4544-3078","Ruicheng","Feng","","Nessuna","Nanyang Technological University",12,810
1099,"0000-0001-5939-1905","junjun","jiang","","Nessuna","Harbin Institute of Technology",64,18684
1100,"0000-0002-7133-7618","Tianxiang","Zheng","","Nessuna","National university of Singapore, department of Chemistry",25,2749
1101,"0000-0002-9944-4108","Eyke","Hüllermeier","","Nessuna","Professor of Computer Science, Paderborn University",75,26011
1102,"0000-0002-4625-743X","Camille","Laibe","","Nessuna","EMBL-EBI","",""
1103,"0000-0003-0983-256X","Celine","Vens","","Nessuna","imec",26,3781
1104,"0000-0002-3027-2512","Andreas","Bender","","Nessuna","University of Cambridge; Pangea Bio; Universitatea Babeș-Bolyai; UMF Cluj",71,20360
1105,"0000-0003-1581-2848","muhammad","haris","","Nessuna","Associate Professor, University of Pennsylvania, Adjunct Professor, LARC, Qatar University",50,9248
1106,"0000-0001-9579-0751","Jordi","Serra Serra","","Nessuna","King's College Hospital",45,15148
1107,"0000-0002-3856-9177","Jose A.","Seoane","Junior Group Leader","Nessuna","Vall d´Hebron Institut d´Oncologia",32,6519
1108,"0009-0000-3479-3254","Zhi-Wei","Yin","Undergraduate of Professor Qi-Xiang Guo's Research Group","Organic Chemistry, Asymmetric Synthesis, Asymmetric Catalysis","Southwest University","",""
1109,"0000-0002-3907-1282","Vinicius","Alves","","Nessuna","Department of Chemistry, Institute of Biological and Exact Sciences, Federal University of Ouro",43,6466
1110,"0000-0002-6834-9255","Seung Woo","Kum","","Nessuna","KETI",10,362
1111,"0000-0002-6197-1746","Hongzhi","Zhang","","Nessuna","Associate Professor of Computer Science and Technology, Harbin Institute of Technology",23,2768
1112,"0000-0002-6817-1661","Y. H.","Xue","","Nessuna","Florida State University",2,18
1113,"0000-0001-6115-9339","Hovakim","Grabski","","Molecular Dynamics, Molecular Docking, Machine Learning, Molecular Biology, Biochemistry, Python","Russian-Armenian(Slavonic) University",6,325
1114,"0000-0002-9181-2252","Qin Qin","Xu","","Nessuna","Eastern Institute of Technology, Ningbo & National University of Singapore",81,19974
1115,"0000-0003-4946-5637","Andrea","Maggioni","","Nessuna","Griffith University - Institute for Glycomics",15,810
1116,"0000-0001-9405-770X","Ivan","Ermakov","Associate Professor","Nessuna","State University of Management","",""
1117,"0000-0003-1421-9735","Sung-Jea","Ko","","Nessuna","Professor of Electrical Engineering, Korea University",43,10821
1118,"0000-0002-0908-1930","Akshay","Dudhane","","Nessuna","Research Scientist, MBZUAI. PhD IIT Ropar",23,1703
1119,"0000-0002-7529-8409","Martina ","di Trani","","Nessuna","IRCCS Humanitas Research Hospital","",""
1120,"0000-0002-3874-2259","Arfa","Mehmood","","Nessuna","University of Turku",9,509
1121,"0000-0001-9630-9755","jiyoung","OH","","Nessuna","Researcher, Alan G. MacDiarmid NanoTech Institute at UTD",24,6538
1122,"0000-0002-9670-3354","Giacomo","Villa","Trainee","Nessuna","OCAS NV","",""
1123,"0000-0002-9121-6717","Christina","Boucher","","Nessuna","University of Florida",29,3559
1124,"0000-0002-2011-481X","Javier","Garcia Garcia","","Nessuna","estudian de Ingeneria industrial, Corporacion universitaria Latinoamericana cul",149,109159
1125,"0000-0001-5719-3737","Qiuyang","Fu","","Nessuna","","",""
1126,"0000-0002-9116-5921","Costas","Mitsopoulos","","Nessuna","","",""
1127,"0000-0003-4304-9157","Gianluca","Giudice","","Nessuna","","",""
1128,"0009-0000-1508-2158","Pavel","Ostyakov","","Nessuna","Principal Research Engineer, Huawei Technologies",8,291
1129,"0009-0008-0012-5563","Chun","Chiang","","Nessuna","Texas A&M University",47,10038
1130,"0000-0002-4808-2805","Samad","Jahandideh","","Nessuna","SBP, UAB",18,1196
1131,"0000-0001-8575-0537","Russ","Wolfinger","","Nessuna","SAS Institute Inc.",71,45170
1132,"0000-0001-7739-7956","Brooke","Fridley","Director, Biostatistics and Epidemiology Core","Nessuna","Children's Mercy Hospital",73,22410
1133,"0000-0001-5661-0658","Jasmijn","Baaijens","Assistant professor","Nessuna","Delft University of Technology",12,2744
1134,"0000-0003-0621-5400","Ivana","Dusparic","Ussher Assistant Professor","Nessuna","Trinity College Dublin",24,2250
1135,"0000-0003-3624-2936","Tianyu","Xu","","Nessuna","Carnegie Mellon University",2,443
1136,"0000-0003-0820-8722","Mads Peter","Soerensen","","Nessuna","Technical University of Denmark",29,3103
1137,"0000-0002-5272-7047","tao tao","wang","","Nessuna","University of Virginia",66,66570
1138,"0000-0001-8975-5263","yang","shen","","Nessuna","University of Rhode Island",118,62288
1139,"0000-0001-5877-7128","Samantha","Heath","","Nessuna","","",""
