Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1016/j.softx.2021.100931,SfM Flow: A comprehensive toolset for the evaluation of 3D reconstruction pipelines,2021,journal-article,,"0000-0002-7070-1545, 0000-0003-2389-0301, 0000-0002-7211-8724, 0000-0003-2878-2131",Stereo Vision and Depth Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,9,9,"['3D Reconstruction', 'Scene Reconstruction', 'Ground truth', 'Visual hull', '3D Mapping', 'Optical Flow', 'Depth Estimation', 'Structure from motion']",
10.1109/ICCE-Berlin56473.2022.9937133,Truncated Edge-based Color Constancy,2022,conference-paper,,"0000-0002-7070-1545, 0000-0003-1138-3345",Color Constancy and Colorimetry,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,20,1,"['Standard illuminant', 'Color Constancy', 'Contrast Enhancement', 'Illuminant Estimation', 'Change Detection', 'Colorimetry', 'Truncation (statistics)', 'Gaussian filter']",
10.1109/THMS.2022.3170829,U-WeAr: User Recognition on Wearable Devices through Arm Gesture,2022,journal-article,,"0000-0002-7070-1545, 0000-0001-9112-0574, 0000-0001-7197-4441, 0000-0003-4901-2910",Gesture Recognition in Human-Computer Interaction,Human-Computer Interaction,Computer Science,Physical Sciences,39,12,"['Gesture Recognition', 'Inertial Sensors', 'Human Identification', 'Wearable Devices', 'Kinect Sensor', 'Identification (biology)']",
10.2352/issn.2169-2629.2021.29.300,An analysis of spectral similarity measures,2021,conference-paper,,"0000-0002-7070-1545, 0000-0002-0009-8007, 0000-0002-7211-8724, 0000-0002-6328-5926, 0000-0001-7461-1451, 0009-0002-8850-8599",Color Constancy and Colorimetry,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,0,7,"['Similarity (geometry)', 'Rank correlation', 'Spectral Reflectance', 'Colorimetry', 'Color Constancy', 'Spectral Imaging', 'Rank (graph theory)']",
10.1007/s42484-021-00056-8,An introduction to quantum machine learning: from quantum logic to quantum deep learning,2021,journal-article,,"0000-0002-7070-1545, 0000-0003-3088-6132, 0000-0002-0944-9598",Quantum Computing and Simulation,Artificial Intelligence,Computer Science,Physical Sciences,114,37,"['Quantum Machine Learning', 'Quantum Computation', 'Quantum Simulation']",
10.1016/j.patrec.2021.05.008,Disentangling Image distortions in deep feature space,2021,journal-article,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0002-6328-5926, 0000-0001-9112-0574",Image Quality Assessment in Multimedia Content,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,46,14,"['Distortion (music)', 'Feature (linguistics)', 'Similarity (geometry)', 'Stereoscopic Images', 'Image Processing', 'Deep Learning', 'Representation (politics)', 'Image Quality Assessment', 'Sparse Representations', 'Feature vector']",
10.1007/978-3-030-68790-8_36,"Faithful Fit, Markerless, 3D Eyeglasses Virtual Try-On",2021,conference-paper,,"0000-0002-7070-1545, 0000-0003-2389-0301, 0000-0003-2878-2131",Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,18,7,"['Eyewear', 'Viewpoints', '3D Face Reconstruction', 'Virtual image']",
10.1002/col.22675,Illumination estimation challenge: The experience of the first 2 years,2021,journal-article,,"0000-0002-7070-1545, 0000-0001-6797-6284, 0000-0003-3035-1365, 0000-0002-3900-8590, 0000-0002-4321-4557, 0000-0001-9698-7206, 0000-0002-1049-6391, 0000-0002-6287-4083, 0000-0003-4292-2049, 0000-0001-6295-3278, 0000-0003-3216-7852, 0000-0003-1138-3345, 0000-0002-2042-5669, 0000-0002-7211-8724, 0000-0001-7461-1451, 0000-0002-3761-7683, 0000-0002-0151-4850",Color Constancy and Colorimetry,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,35,6,"['Illuminant Estimation', 'Color Constancy', 'Standard illuminant', 'Colorimetry', 'Contrast Enhancement', 'Depth Estimation', 'RGB color model']",
10.1109/RadarConf2043947.2020.9266516,AESA Adaptive Beamforming Using Deep Learning,2020,conference-paper,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0001-9112-0574, 0000-0003-4198-6606, 0009-0006-4582-8364, 0000-0003-3713-4283",Optimization Techniques for Antenna Arrays,Aerospace Engineering,Engineering,Physical Sciences,27,8,"['Antenna Arrays', 'Adaptive beamformer']",
10.1364/JOSAA.398692,ARC: Angle-Retaining Chromaticity diagram for color constancy error analysis,2020,journal-article,,"0000-0002-7070-1545, 0000-0003-1138-3345, 0000-0002-7211-8724, 0000-0001-7461-1451",Color Constancy and Colorimetry,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,34,13,"['Chromaticity', 'Color Constancy', 'Colorimetry', 'Standard illuminant', 'Contrast Enhancement', 'Illuminant Estimation', 'Reflectance Reconstruction', 'Ground truth']",
10.1117/12.2587589,Consensus-driven illuminant estimation with GANs,2021,conference-paper,,"0000-0002-7070-1545, 0000-0003-1138-3345, 0000-0002-2042-5669, 0000-0002-7211-8724, 0000-0001-7461-1451",Stereo Vision and Depth Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,0,6,"['Standard illuminant', 'Illuminant Estimation', 'Gamut Mapping', 'Rendering', 'RGB color model']",
10.1016/j.dib.2019.105041,IVL-SYNTHSFM-v2: A synthetic dataset with exact ground truth for the evaluation of 3D reconstruction pipelines,2019,journal-article,,"0000-0002-7070-1545, 0000-0003-2389-0301, 0000-0002-7211-8724, 0000-0003-2878-2131",3D Geospatial Modelling Techniques,Geology,Earth and Planetary Sciences,Physical Sciences,4,8,"['Ground truth', 'Motion blur', 'Viewpoints', '3D Reconstruction', '3D Shape Measurement', 'Scene Reconstruction', 'Surface Profilometry', 'Structured Light', 'Structure from motion']",
10.1016/j.inffus.2019.12.007,Neural architecture search for image saliency fusion,2019,journal-article,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0003-1138-3345, 0000-0003-2878-2131, 0000-0001-7461-1451",Computational Modeling of Visual Saliency Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,89,21,"['Benchmark (surveying)', 'Saliency Detection', 'Image Fusion', 'Backpropagation', 'Salient Object Detection', 'Image Segmentation', 'Neural Processing']",
10.1109/TIP.2020.2989584,Personalized Image Enhancement Using Neural Spline Color Transforms,2020,journal-article,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0001-9365-8167, 0009-0007-0604-7677, 0000-0001-7461-1451",Image Enhancement Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,34,27,"['Color Transfer', 'Image Processing', 'Single Image Restoration', 'Contrast Enhancement', 'Scene Reconstruction']",
10.1109/TPAMI.2019.2919824,Providing a Single Ground-Truth for Illuminant Estimation for the ColorChecker Dataset,2019,journal-article,,"0000-0002-7070-1545, 0000-0002-9631-296X, 0000-0003-1933-7706, 0000-0003-4926-3672, 0000-0002-5812-4052, 0000-0001-8046-9746, 0000-0003-3525-9197",Color Constancy and Colorimetry,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,4,12,"['Standard illuminant', 'Ground truth', 'Colorimetry', 'Illuminant Estimation', 'Color Constancy', 'Single Image Restoration', 'Contrast Enhancement']",
10.1109/ISCE.2019.8900979,A Web Application for Glasses Virtual Try-on in 3D Space,2019,conference-paper,,"0000-0002-7070-1545, 0000-0003-2389-0301, 0000-0002-7211-8724, 0000-0003-2878-2131",Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,11,5,"['Viewpoints', '3D Face Reconstruction', 'Visual Servoing']",
10.1109/ACCESS.2019.2923856,Biometric Recognition Using Multimodal Physiological Signals,2019,journal-article,,"0000-0002-7070-1545, 0000-0001-9112-0574",Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences,39,34,"['Hyperparameter', 'Signal Processing', 'Physiological Monitoring', 'Pulse Oximetry', 'Brain-Computer Interfaces', 'Arrhythmia Detection']",
10.1007/978-3-030-30645-8_30,Combining Saliency Estimation Methods,2019,conference-paper,,"0000-0002-7070-1545, 0000-0003-1138-3345, 0000-0003-2878-2131",Computational Modeling of Visual Saliency Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,37,2,"['Saliency Detection', 'Image Segmentation', 'Image Quality Assessment', 'Salient Object Detection', 'Stereoscopic Images']",
10.1109/CVPRW.2019.00245,Content-Preserving Tone Adjustment for Image Enhancement,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0001-9365-8167, 0009-0007-0604-7677, 0000-0001-7461-1451",Image Enhancement Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,18,10,"['Tone mapping', 'Contrast Enhancement', 'Color Transfer', 'Single Image Restoration', 'Image Denoising', 'Image Processing', 'Tone (literature)']",
10.1145/3329189.3329219,Getting the most of few data for neonatal pain assessment,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-6328-5926, 0000-0001-7664-6930, 0000-0002-7211-8724",Pediatric Pain Assessment and Management,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,16,0,"['Discriminator', 'Pain Assessment Tools', 'Pain Measurement', 'Pain Management', 'Neonatal Pain', 'Generative adversarial network', 'Pediatric Pain', 'Training set']",
10.1109/CVPRW.2019.00244,High-Resolution Single Image Dehazing Using Encoder-Decoder Architecture,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0002-6328-5926, 0009-0007-0604-7677, 0000-0001-7461-1451",Image Enhancement Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,42,29,"['Dehazing', 'Single Image Restoration', 'Super-Resolution']",
10.1007/978-3-030-30645-8_16,Image Memorability Using Diverse Visual Features and Soft Attention,2019,conference-paper,,"0000-0002-7070-1545, 0000-0001-5272-6477, 0000-0002-6328-5926, 0000-0001-9112-0574, 0000-0002-7211-8724, 0000-0001-7461-1451, 0000-0003-4037-7235, 0000-0001-6269-1351",Computational Modeling of Visual Saliency Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,28,2,"['Benchmark (surveying)', 'Feature (linguistics)', 'Visual Attention', 'Single Image Restoration', 'Feature Matching', 'Image Segmentation', 'Bottom-Up Attention']",
10.1145/3329189.3329221,Multimodal Car Driver Stress Recognition,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0001-9112-0574, 0000-0001-7461-1451",Effects of Sleep Deprivation and Fatigue on Performance,Experimental and Cognitive Psychology,Psychology,Social Sciences,22,21,"['Concatenation (mathematics)', 'Emotion Recognition', 'Multimodal Data', 'Stress Marker', 'Driver Fatigue']",
10.1016/j.eswa.2019.05.036,Multitask painting categorization by deep multibranch neural network,2019,journal-article,,"0000-0002-7070-1545, 0000-0001-8924-9889, 0000-0001-9112-0574, 0000-0001-7461-1451",Neuroaesthetics and Aesthetic Perception in Neuroscience,Cognitive Neuroscience,Neuroscience,Life Sciences,65,42,"['Discriminative model', 'Texture Classification', 'Deep neural networks']",
10.1109/CVPRW.2019.00275,NTIRE 2019 Challenge on Image Enhancement: Methods and Results,2019,conference-paper,,"0000-0002-7070-1545, 0009-0003-6945-3489, 0000-0002-1478-0402, 0000-0002-3181-3704, 0000-0003-3678-7303, 0000-0002-4186-4986, 0000-0001-5371-1867, 0000-0002-7198-0187, 0000-0002-7194-3263, 0000-0003-2402-363X, 0000-0002-4263-3143, 0000-0002-7974-4744, 0000-0001-9146-9872, 0000-0001-8739-8960, 0000-0002-6293-9668, 0000-0002-5393-9594, 0000-0001-9951-0155, 0000-0001-9054-7314, 0000-0002-8402-619X, 0000-0001-5939-1905, 0000-0003-3434-9967, 0000-0003-1581-2848, 0000-0002-4170-5344, 0000-0003-2487-2885, 0000-0002-0240-1065, 0000-0002-9740-0056, 0000-0003-0299-7206, 0000-0001-7461-1451, 0000-0002-7211-8724, 0000-0001-9365-8167, 0009-0007-0604-7677, 0000-0001-6424-6139, 0000-0002-5274-3194, 0000-0002-5440-4620, 0000-0003-0632-3233, 0000-0002-6197-1746, 0000-0002-3330-783X, 0000-0002-4517-0391, 0000-0003-3005-4109, 0000-0003-0663-199X, 0009-0000-4749-2848, 0009-0009-5292-6271, 0000-0003-3544-0535, 0000-0003-4819-4679, 0000-0003-3046-9814, 0000-0002-5499-0850, 0000-0001-9380-5235, 0000-0003-3774-994X, 0000-0003-3973-619X, 0000-0002-7109-1638, 0000-0003-0841-6628, 0000-0002-9262-7569",Single Image Super-Resolution Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,32,45,"['Image Denoising', 'Single Image Restoration', 'Contrast Enhancement', 'Low-Light Enhancement', 'Super-Resolution']",
10.1109/CVPRW.2019.00273,NTIRE 2019 Challenge on Real Image Denoising: Methods and Results,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-4836-794X, 0000-0002-1478-0402, 0000-0002-3502-6759, 0000-0003-0725-9202, 0000-0003-3783-8272, 0000-0002-3759-3116, 0000-0003-0722-806X, 0000-0002-5164-3108, 0000-0002-5515-7289, 0000-0001-5697-1656, 0000-0001-6962-6659, 0000-0002-5474-6874, 0000-0002-9181-2252, 0000-0003-2220-6897, 0000-0002-0088-0269, 0000-0002-7398-6873, 0000-0003-2557-8338, 0000-0002-5274-3194, 0000-0002-3330-783X, 0000-0002-0703-9851, 0000-0002-4538-6045, 0000-0003-3184-6933, 0000-0001-8739-8960, 0000-0002-1167-3142, 0000-0002-0484-6631, 0000-0003-1581-2848, 0000-0002-4170-5344, 0000-0003-2487-2885, 0000-0002-0240-1065, 0000-0002-7198-0187, 0000-0002-7194-3263, 0000-0003-2402-363X, 0000-0002-4263-3143, 0000-0002-7974-4744, 0000-0003-1421-9735, 0000-0002-0037-215X, 0000-0003-1817-2516, 0000-0001-8700-8440, 0000-0001-7130-2637, 0000-0002-4725-9963, 0000-0003-3943-7181, 0000-0001-7478-407X, 0000-0001-9690-7333, 0000-0002-3853-1339, 0000-0003-1739-5910, 0000-0002-5405-0252, 0000-0001-7603-6497, 0009-0004-2735-4498, 0009-0008-9519-0092, 0000-0001-7942-0806, 0000-0001-7461-1451, 0000-0002-7211-8724, 0000-0002-8505-1581, 0000-0002-5957-5680, 0000-0002-3106-2111, 0000-0001-8401-2516",Image Denoising Techniques and Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,51,93,"['RGB color model', 'Image Denoising', 'Video denoising']",
10.1109/CVPRW.2019.00277,NTIRE 2019 Image Dehazing Challenge Report,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-2151-804X, 0000-0002-1478-0402, 0000-0002-3445-5711, 0000-0002-5405-0252, 0000-0003-4848-2304, 0000-0001-9994-2636, 0000-0002-9993-7017, 0000-0001-7854-2027, 0000-0002-5100-2263, 0000-0003-3221-6212, 0000-0002-4881-7760, 0000-0002-4896-0997, 0000-0002-3181-3704, 0000-0001-5371-1867, 0000-0001-9146-9872, 0000-0001-8739-8960, 0000-0003-4638-5914, 0000-0002-9213-6903, 0000-0001-8156-3136, 0000-0003-2527-8909, 0000-0002-7528-5392, 0000-0002-6293-9668, 0000-0002-5393-9594, 0000-0001-9951-0155, 0000-0002-5257-6867, 0000-0002-5770-8611, 0000-0002-2055-2836, 0009-0008-7648-6867, 0000-0002-9871-0806, 0000-0001-9791-7613, 0000-0003-4895-5976, 0000-0003-4645-1395, 0000-0002-4067-6473, 0000-0002-3204-6359, 0000-0002-4431-0671, 0009-0005-5807-6467, 0000-0002-6709-1627, 0000-0002-0004-181X, 0000-0001-7461-1451, 0000-0002-7211-8724, 0009-0007-0604-7677, 0000-0002-6328-5926, 0000-0002-2501-9563, 0000-0002-4168-5515, 0000-0002-3082-3214, 0000-0003-3384-4368, 0000-0002-0908-1930, 0000-0002-7133-7618, 0000-0003-4661-4959, 0009-0005-7574-4105, 0000-0003-0833-805X, 0000-0002-1544-8794, 0000-0002-9241-5347, 0000-0001-7409-7448, 0000-0003-2629-8776",Image Enhancement Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,37,42,"['Haze', 'Ground truth', 'Dehazing']",
10.1109/CVPR.2019.01249,Quasi-Unsupervised Color Constancy,2019,conference-paper,,"0000-0002-7070-1545, 0000-0002-7211-8724, 0000-0001-9365-8167",Color Constancy and Colorimetry,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,49,66,"['Standard illuminant', 'Color Constancy', 'Color Transfer', 'Colorimetry', 'Contrast Enhancement', 'Image Processing', 'Achromatic lens']",
10.1002/smr.2459,"About the special issue on: “Distributed Complex Systems: Governance, Engineering, and Maintenance”",2022,journal-article,https://doi.org/10.1002/smr.2459,"0000-0001-9307-6781, 0000-0003-1994-8929, 0000-0002-1076-0076, 0000-0003-0669-5723, 0000-0001-6577-5606, 0000-0002-0405-9814",Software Reliability Assessment and Prediction,Software,Computer Science,Physical Sciences,8,0,['Fault Detection and Correction'],
10.1002/stvr.1719,Facilitating program performance profiling via evolutionary symbolic execution,2019,journal-article,,"0000-0001-9307-6781, 0000-0002-9524-6024, 0000-0002-7566-8051, 0000-0002-8687-052X",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,41,0,"['Traverse', 'Profiling (computer programming)', 'Symbolic Execution', 'Performance Prediction', 'Model-driven Performance Prediction', 'Search-Based Testing', 'Automated Testing', 'Concolic testing', 'Memetic algorithm']",
10.1109/ISSREW.2019.00062,Design for Testability of ERMTS Applications,2019,conference-paper,,"0000-0001-9307-6781, 0009-0003-5029-9100, 0000-0002-5580-3623, 0000-0001-7251-1510",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,20,2,"['Integration testing', 'Requirements Engineering', 'Observability', 'System integration testing', 'System testing', 'Test strategy']",
10.1109/SBST.2019.00016,SUSHI and TARDIS at the SBST2019 Tool Competition,2019,conference-paper,,"0000-0001-9307-6781, 0000-0001-7251-1510",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,10,6,"['Control flow', 'Software Defect Prediction', 'Unit testing', 'Control unit']",
10.1109/TPAMI.2024.3388097,Ensemble Predictors: Possibilistic Combination of Conformal Predictors for Multivariate Time Series Classification,2024,journal-article,https://doi.org/10.1109/TPAMI.2024.3388097,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-9445-4809, 0000-0002-8481-6079, 0000-0002-4022-7424",Clustering of Time Series Data and Algorithms,Signal Processing,Computer Science,Physical Sciences,0,1,"['Robustness (evolution)', 'Pattern Discovery', 'Multivariate Classification']",
10.3390/make6040109,Not in My Face: Challenges and Ethical Considerations in Automatic Face Emotion Recognition Technology,2024,journal-article,https://doi.org/10.3390/make6040109,"0000-0002-4065-3415, 0009-0000-1420-9946",Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,110,0,"['Emotion Recognition', 'Facial Expression Analysis', 'Face Recognition', 'Facial Identity', 'Affective Computing', 'Face-to-face']",
10.1016/j.artmed.2024.102819,Never tell me the odds: Investigating pro-hoc explanations in medical decision making,2024,journal-article,https://doi.org/10.1016/j.artmed.2024.102819,"0000-0002-4065-3415, 0000-0002-0293-171X, 0000-0002-1934-5899, 0000-0002-0027-5157, 0000-0003-1121-9908, 0000-0001-9287-9937",Human Interaction with Automation Systems,Social Psychology,Psychology,Social Sciences,60,6,"['Odds', 'Decision-making', 'Medical decision making', 'Visual Explanations', 'Interpretable Models', 'Human Factors', 'Post hoc', 'Clinical decision making']",
10.1007/978-3-031-63803-9_14,Explanations Considered Harmful: The Impact of Misleading Explanations on Accuracy in Hybrid Human-AI Decision Making,2024,book-chapter,https://doi.org/10.1007/978-3-031-63803-9_14,"0000-0002-4065-3415, 0009-0004-7626-8131, 0000-0002-0027-5157, 0000-0002-5171-5239",Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences,27,0,"['Visual Explanations', 'Interpretable Models', 'Machine Learning Interpretability', 'Prediction Accuracy', 'Responsibility in AI']",
10.1016/j.asoc.2023.110644,Everything is varied: The surprising impact of instantial variation on ML reliability,2023,journal-article,https://doi.org/10.1016/j.asoc.2023.110644,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-1934-5899, 0000-0003-0147-9378",Learning with Noisy Labels in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,68,6,"['Robustness (evolution)', 'Variation (astronomy)', 'Machine Learning Interpretability', 'Model Interpretability', 'Relevance (law)']",
10.3233/FAIA230327,"Towards a Rigorous Calibration Assessment Framework: Advancements in Metrics, Methods, and Use",2023,book-chapter,https://doi.org/10.3233/FAIA230327,"0000-0002-4065-3415, 0000-0002-1934-5899, 0000-0002-0027-5157",Health Economics and Quality of Life Assessment,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,23,4,"['Interpretable Models', 'Machine Learning Interpretability', 'Model Interpretability']",
10.1145/3605390.3610825,Demo: Decision Support System Quality Assessment Tool,2023,conference-paper,https://doi.org/10.1145/3605390.3610825,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-5171-5239",Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences,4,0,"['Robustness (evolution)', 'Quality assessment', 'Dimensionality Reduction']",
10.1007/s11547-023-01629-2,Accuracy of automated 3D cephalometric landmarks by deep learning algorithms: systematic review and meta-analysis,2023,journal-article,https://doi.org/10.1007/s11547-023-01629-2,"0000-0002-4065-3415, 0000-0003-4680-0989, 0000-0003-4365-4998, 0000-0003-1448-2808, 0000-0003-2978-1704, 0000-0001-7144-0984, 0000-0001-6532-6464, 0000-0002-8264-7320, 0000-0001-7062-5143",Cone-Beam Computed Tomography in Dentistry,Oral Surgery,Dentistry,Health Sciences,53,20,"['Anatomical Landmarks', 'Cephalometric analysis']",
10.1145/3544548.3581095,AI Shall Have No Dominion: on How to Measure Technology Dominance in AI-supported Human decision-making,2023,conference-paper,https://doi.org/10.1145/3544548.3581095,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0003-0291-3332, 0000-0002-5171-5239, 0000-0003-3523-1055",Ethical Implications of Artificial Intelligence,Safety Research,Social Sciences,Social Sciences,62,8,"['Dominance (genetics)', 'Dominion', 'User Acceptance', 'Medical decision making']",
10.3390/diagnostics13061189,Assessment of Fast-Track Pathway in Hip and Knee Replacement Surgery by Propensity Score Matching on Patient-Reported Outcomes,2023,journal-article,https://doi.org/10.3390/diagnostics13061189,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-0522-2804, 0000-0002-8221-6694, 0000-0003-1192-9555, 0000-0001-9578-5338",Projections and Outcomes of Arthroplasty Surgery in the US,Surgery,Medicine,Health Sciences,51,2,"['Convalescence', 'Fast track', 'Total Hip Replacement', 'Total Knee Replacement', 'Rehabilitation', 'Hip surgery']",
10.3390/make5010017,Painting the Black Box White: Experimental Findings from Applying XAI to an ECG Reading Setting,2023,journal-article,https://doi.org/10.3390/make5010017,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-5171-5239, 0000-0003-0679-828X, 0000-0003-2182-4511, 0000-0003-3872-8964",Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences,68,8,"['XAI Concepts', 'Visual Explanations', 'Black Box Models', 'Machine Learning Interpretability', 'Interpretable Models', 'Relevance (law)']",
10.1016/j.eswa.2022.118888,Quod erat demonstrandum? - Towards a typology of the concept of explanation for the design of explainable AI,2022,journal-article,https://doi.org/10.1016/j.eswa.2022.118888,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0003-3495-8471, 0000-0002-5171-5239, 0000-0003-0563-5091, 0000-0002-0294-2910, 0000-0002-6786-5194",Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences,98,48,"['Interpretable Models', 'Machine Learning Interpretability', 'Model Interpretability', 'Visual Explanations', 'XAI Concepts']",
10.1007/978-3-031-44064-9_33,Color Shadows 2: Assessing the Impact of XAI on Diagnostic Decision-Making,2023,book-chapter,https://doi.org/10.1007/978-3-031-44064-9_33,"0000-0002-4065-3415, 0000-0002-5171-5239, 0000-0002-1934-5899, 0000-0002-0027-5157, 0000-0001-5360-1262, 0000-0001-9287-9937",Artificial Intelligence in Medicine,Health Informatics,Medicine,Health Sciences,24,3,"['XAI Concepts', 'Clinical Decision Support', 'Medical Decision Making', 'Responsibility in AI', 'Uncertainty in Diagnosis']",
10.1007/978-3-031-42283-6_19,The Impact of Gender and Personality in Human-AI Teaming: The Case of Collaborative Question Answering,2023,book-chapter,https://doi.org/10.1007/978-3-031-42283-6_19,"0000-0002-4065-3415, 0000-0002-0522-2804, 0000-0002-5171-5239, 0000-0002-3769-8874, 0000-0002-0027-5157",Artificial Intelligence in Service Industry,Artificial Intelligence,Computer Science,Physical Sciences,55,1,"['Stereotype (UML)', 'Exploratory research', 'Voice Assistants']",
10.1007/978-3-031-40837-3_5,The Tower of Babel in Explainable Artificial Intelligence (XAI),2023,book-chapter,https://doi.org/10.1007/978-3-031-40837-3_5,"0000-0002-4065-3415, 0000-0003-0563-5091, 0000-0003-4490-5947, 0000-0002-0027-5157, 0000-0003-2718-7648, 0000-0002-9691-4872, 0000-0002-6786-5194",Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences,32,5,"['Tower of Babel', 'Viewpoints', 'XAI Concepts', 'Machine Learning Interpretability', 'Interpretable Models', 'Responsibility in AI', 'Model Interpretability', 'Confusion', 'Multitude']",
10.3390/jpm12111811,Detecting the Effect Size of Weather Conditions on Patient-Reported Outcome Measures (PROMs),2022,journal-article,https://doi.org/10.3390/jpm12111811,"0000-0002-4065-3415, 0000-0002-0522-2804, 0000-0001-7132-7703, 0000-0002-1934-5899, 0000-0001-9578-5338",Impact of Climate Change on Human Health,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,36,1,"['Patient-reported outcome', 'Prom', 'Affect (linguistics)', 'Temperature', 'Odds']",
10.3390/jpm12101706,Application of Machine Learning to Improve Appropriateness of Treatment in an Orthopaedic Setting of Personalized Medicine,2022,journal-article,https://doi.org/10.3390/jpm12101706,"0000-0002-4065-3415, 0000-0002-0522-2804, 0000-0002-1934-5899, 0000-0001-9578-5338",Artificial Intelligence in Medicine,Health Informatics,Medicine,Health Sciences,55,8,"['Medical Concept Embedding', 'Clinical Decision Support', 'Personalized medicine']",
10.3390/s22197324,Comparing Handcrafted Features and Deep Neural Representations for Domain Generalization in Human Activity Recognition,2022,journal-article,https://doi.org/10.3390/s22197324,"0000-0002-4065-3415, 0000-0001-7279-1890, 0000-0003-0385-053X, 0000-0002-9445-4809, 0000-0002-4234-5336, 0000-0002-0027-5157, 0000-0002-4022-7424",Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,54,12,"['Deep neural networks', 'Human Activity Analysis', 'Activity Recognition', 'Action Recognition', 'Deep Learning']",
10.1177/20539517221129549,The unbearable (technical) unreliability of automated facial emotion recognition,2022,journal-article,https://doi.org/10.1177/20539517221129549,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-6542-8089",Emotion Recognition and Analysis in Multimodal Data,Experimental and Cognitive Psychology,Psychology,Social Sciences,75,22,"['Emotion Recognition', 'Facial Expression Analysis', 'Affective Computing', 'Face Perception', 'Facial Expression', 'Soundness', 'Emotion perception']",
10.1016/j.cmpb.2022.106930,Decisions are not all equal—Introducing a utility metric based on case-wise raters’ perceptions,2022,journal-article,https://doi.org/10.1016/j.cmpb.2022.106930,"0000-0002-4065-3415, 0000-0002-0027-5157, 0000-0002-5510-2296",Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences,43,8,"['Relevance (law)', 'Responsibility in AI', 'Empirical research', 'Performance metric']",
