,Given Name,Family Name,Role,ORCID ID,Keywords,H Index,Citations,Organization,Past Institutions,Department Code,Specific Field,Internal,openalex_id_institution
91,Pikakshi,Manchanda,Research Fellow,0000-0002-6328-9089,Nessuna,5,146,University of Exeter,,,,External,https://openalex.org/I23923803
92,Niranjan,Nagarajan,,0000-0003-0850-5604,Nessuna,64,24041,Genome Institute of Singapore,,,,External,https://openalex.org/I66068411
93,Riccardo,Barbieri,Research Associate,0000-0003-0980-3136,Nessuna,161,81662,Charité Universitätsmedizin Berlin,,,,External,https://openalex.org/I7877124
94,Cristina,Monni,Postdoctoral Research Assistant,0000-0003-4342-2695,Nessuna,7,237,Università della Svizzera Italiana,,,,External,https://openalex.org/I57201433
95,Mingxi,Li,,0000-0001-6052-1885,Nessuna,12,805,Southeast University,,,,External,https://openalex.org/I76569877
96,jesper,tegner,"Professor, Bioscience",0000-0002-9568-5588,"mathematics, computational biology",63,21139,King Abdullah University of Science and Technology (KAUST),,,,External,https://openalex.org/I71920554
97,Ron,Henkel,PostDoc,0000-0001-6211-2719,Nessuna,12,593,Universitätsmedizin Greifswald,,,,External,https://openalex.org/I2799318839
98,Sven,Loncaric,Full professor,0000-0002-4857-5351,"image processing, computer vision, image analysis",37,6349,University of Zagreb Faculty of Electrical Engineering and Computing,,,,External,https://openalex.org/I181343428
99,Artem,LYSENKO ,,0000-0002-9399-4512,Nessuna,18,1698,RIKEN,,,,External,https://openalex.org/I4210110652
100,Chris,Evelo,,0000-0002-5301-3142,"Bioinformatics, Systems Biology, toxicology, nutrition, rare diseases, FAIR, Network Biology, Molecular Pathways",59,30946,Maastricht University,,,,External,https://openalex.org/I34352273
101,Antonio,Palmeri,Principal Scientist,0000-0002-2559-8833,Nessuna,14,895,Bristol Myers Squibb,,,,External,https://openalex.org/I4210091812
102,Bhagwan,Yadav,PhD Student,0000-0002-3723-6661,Nessuna,27,3736,"Lincoln University,New Zealand",,,,External,https://openalex.org/I184746854
103,ALBERTO,GARAVENTA,Head of Oncology Unit,0000-0002-5368-6363,Nessuna,57,13083,Istituto Giannina Gaslini,,,,External,https://openalex.org/I2801463291
104,Sebastian,Muraru,,0000-0002-1301-1468,Nessuna,6,100,"Researcher , INMA Bucharest",,,,External,
105,Marco,Gui,,0000-0003-2411-999X,Nessuna,19,2413,University of Milano-Bicocca,,,,External,https://openalex.org/I66752286
106,Yangfan,Sun,,0000-0001-6492-2838,Nessuna,40,7261,Sun Yat-sen University,,,,External,https://openalex.org/I157773358
107,Eivind,Hovig,"Professor/ Head, Center of Bioinformatics",0000-0002-9103-1077,"Bioinformatics, Genomics, Melanoma, Mutation analysis",62,18366,University of Oslo,,,,External,https://openalex.org/I184942183
108,Yongsoo,Kim,,0000-0003-3053-0662,Nessuna,37,5306,"Department of Semiconductor Physics and Energy Harvest-Storage Research Center, University of Ulsan",,,,External,https://openalex.org/I40542001
109,Antonia,Godoy-Lorite,,0000-0001-8548-2616,Nessuna,6,161,University College London,,,,External,https://openalex.org/I45129253
110,Seung Won,Jung,,0000-0003-0722-806X,Nessuna,24,3151,한국해양과학기술원,,,,External,https://openalex.org/I133437993
111,Jeon,Lee,Assistant Professor,0000-0002-9071-7157,Nessuna,14,85189,The University of Texas Southwestern Medical Center,,,,External,https://openalex.org/I867280407
112,Emil,Hristov,Professor,0000-0002-4339-8202,Nessuna,7,259,Sofia University Saint Kliment Ohridski,,,,External,https://openalex.org/I58918642
113,Amin,Allam,,0000-0001-5137-0990,Nessuna,9,320,"Senior Lecturer, Universiti Teknologi MARA, 40450, Shah Alam, Selangor, MALAYSIA",,,,External,https://openalex.org/I82724352
114,B,SATHYA BAMA,,0000-0002-5217-2328,Nessuna,44,5107,Sathyabama Institute of Science and Technology,,,,External,https://openalex.org/I43814544
115,Mariana,Pelicano de Almeida,,0009-0001-4373-4982,Nessuna,,,"i3S - Instituto de Investigação e Inovação em Saúde, Universidade do Porto",,,,External,https://openalex.org/I4210108577
116,Richard,Adams,Professor,0000-0003-3915-7243,"colorectal cancer, personalised treatment, survivorship, radiotherapy, palliation",54,13622,Cardiff University,,,,External,https://openalex.org/I79510175
117,Daniel J.,Vis,,0009-0003-9522-5535,Nessuna,26,7329,The Netherlands Cancer Institute,,,,External,https://openalex.org/I2898336195
118,Aneta,Polewko-Klim,,0000-0003-1987-7374,Nessuna,8,654,"Faculty of Computer Science, University of Bialystok",,,,External,https://openalex.org/I1323121030
119,Marc Thilo,Figge,Professor for Applied Systems Biology,0000-0002-4044-9166,"image-baesd systems biology, host-pathogen interactions, image-baesdautomated image analysis, mathematical modeling, computer simulations",40,4628,"Leibniz Institute for Natural Product Research and Infection  Biology - Hans Knöll Institute, Friedrich Schiller University Jena, Germany",,,,External,https://openalex.org/I76198965
120,Richard,White,Research Affiliate,0009-0009-7273-9449,Nessuna,44,63720,University of Sydney,,,,External,https://openalex.org/I129604602
121,Jiaojiao,Li,,0000-0001-9181-6467,Nessuna,29,3198,University of Technology Sydney,,,,External,https://openalex.org/I114017466
122,Jonathan ,Gordon,,0000-0003-1232-315X,Nessuna,54,11379,University of Saskatchewan,,,,External,https://openalex.org/I32625721
123,Petr,Smirnov,Doctor of Sciences,0000-0002-8844-3572,"Value, activity, society. evolutuon",20,2105,Saint Petersburg State University ,,,,External,https://openalex.org/I37355250
124,Chuan,Wang,,0000-0003-2220-6897,Nessuna,82,33195,North China University of Water Resources and Electric Power,,,,External,https://openalex.org/I198645480
125,Keith,Boroevich,Technical Staff I,0000-0001-7095-7332,Nessuna,28,7354,RIKEN Center for Integrative Medical Sciences,,,,External,https://openalex.org/I4210150921
126,Dmitry,Bocharov,,0009-0009-9203-4753,Nessuna,18,878,"Institute of Solide State physics, University of Latvia",,,,External,https://openalex.org/I91123046
127,lang,li,,0000-0002-5719-434X,Nessuna,38,77271,"Department of Electronics and Electrical Engineering, National Yang Ming Chiao Tung University",,,,External,https://openalex.org/I148366613
128,Nicola,Lazzarini,,0000-0003-1783-5488,Nessuna,8,463,Newcastle University,,,,External,https://openalex.org/I84884186
129,Aditya,Arora,,0000-0002-7194-3263,Nessuna,19,6781,Inception Institute of Artificial Intelligence,,,,External,https://openalex.org/I4210116052
130,Raquel,Bello,Research Assistant,0009-0001-0370-2572,Nessuna,25,2145,University of Wisconsin–Madison,,,,External,https://openalex.org/I135310074
131,Moonshik,Shin,,0000-0001-8882-305X,Nessuna,1,4,Chapman University,,,,External,https://openalex.org/I185071736
132,Claudine,Chaouiya,Associate Professor,0000-0003-2350-0756,"Computational biology, Discrete dynamical systems, Logical modelling, Regulatory networks, Signalling networks",39,6317,Aix-Marseille University,,,,External,https://openalex.org/I21491767
133,Chayaporn,Suphavilai,,0000-0002-4777-4586,Nessuna,13,3468,Genome Institute of Singapore,,,,External,https://openalex.org/I66068411
134,Zhiqing,Xu,,0000-0001-5251-9603,Nessuna,47,7301,Karolinska Institute and Capital Medical University,,,,External,https://openalex.org/I28166907
135,Barbara,Bryant,,0000-0001-5989-0499,Nessuna,28,7205,Constellation Pharmaceuticals,,,,External,https://openalex.org/I4210146481
136,Haichen ,Zhang ,,0000-0001-6829-3063,Nessuna,26,2283,Université Libre de Bruxelles,,,,External,https://openalex.org/I132053463
137,Brian R.,Lawler,Professor of Mathematics Education,0000-0003-1030-5572,Nessuna,8,436,Kennesaw State University,,,,External,https://openalex.org/I172980758
138,luca maria,Gambardella,,0009-0004-2555-1762,Nessuna,77,59372,"Faculty of informatics, USI, IDSIA - USI-SUPSI, Artificialy SA, Lugano",,,,External,https://openalex.org/I57201433
139,venkateswararao,cherukuri,,0000-0001-7854-2027,Nessuna,11,772,"Qualcomm, Sandiego",,,,External,
140,Robert,Vogel,,0000-0002-5758-8090,Nessuna,33,4785,Unknown affiliation,,,,External,
141,Fenglong,Song,,0009-0002-1356-3227,Nessuna,13,813,Huawei Noah's Ark Lab,,,,External,
142,GIULIA,BERNARDINI,,0000-0003-3491-2668,Nessuna,35,3960,University of Colorado Boulder,,,,External,https://openalex.org/I188538660
143,Symeon,Symeonidis,,0000-0002-8166-2326,Nessuna,14,950,"Democritus University of Thrace, ENORA Innovation",,,,External,https://openalex.org/I147962203
144,Ivan,Merelli,,0000-0003-3587-3680,Nessuna,29,3389,"Researcher in Bioinformatics, Institute for Biomedical Technologies",,,,External,
145,Zheng,Ning,PhD Student,0000-0002-0451-6536,Nessuna,76,30173,Karolinska Institutet,,,,External,https://openalex.org/I28166907
146,Annalisa,MASSINI,Associate Professor,0000-0001-8343-8929,Nessuna,18,885,Sapienza University of Rome,,,,External,https://openalex.org/I861853513
147,HEEWON,LEE,,0000-0002-3780-9730,Nessuna,20,1294,Sejong University,,,,External,https://openalex.org/I28777354
148,Matteo,Orrù,,0000-0001-6039-138X,Nessuna,12,444,Lastminute.com,,,,External,
149,Mélanie,Courtot,Assistant professor,0000-0002-9551-6370,"Bioinformatics, Ontology",30,12372,University of Toronto,,,,External,https://openalex.org/I185261750
150,Zudi,Lin,Research Assistant,0000-0003-4176-8035,"Deep Learning, Computer Vision, Connectomics",35,4547,Harvard University,,,,External,https://openalex.org/I136199984
151,Allyson,Lister,,0000-0002-7702-4495,Nessuna,18,4822,University of Oxford,,,,External,https://openalex.org/I40120149
152,Neil,Swainston,,0000-0001-7020-1236,Nessuna,38,8331,University of Liverpool,,,,External,https://openalex.org/I146655781
153,Yves,Scherrer,,0000-0001-5247-5073,"Natural language processing, dialects and closely related languages, machine translation, dialectome",25,2212,University of Helsinki,,,,External,https://openalex.org/I133731052
154,Hidde,de Jong,,0000-0002-2226-650X,Nessuna,38,9381,INRIA,,,,External,https://openalex.org/I4210101348
155,Fernando,Perales,,0000-0002-0623-4989,Nessuna,8,247,JOT INTERNET MEDIA (Head of Research Lab),,,,External,
156,Binbin,Song,,0000-0001-9926-7490,Nessuna,5,106,University of Macau,,,,External,https://openalex.org/I204512498
157,Jiye,Liu,,0000-0003-0632-3233,Nessuna,11,642,Dana-Farber Cancer Institute,,,,External,https://openalex.org/I4210117453
158,Tero,Aittokallio,,0000-0002-0886-9769,Nessuna,71,17830,University of Helsinki,,,,External,https://openalex.org/I133731052
159,Marat,Kazanov,Head of the Translational Bioinformatics Group,0000-0002-2314-5507,Nessuna,43,13263,Institute for Information Transmission Problems,,,,External,https://openalex.org/I4210107660
160,paola,Bonizzoni,,0000-0001-6849-7568,Nessuna,27,2472,University of Milano-Bicocca,,,,External,https://openalex.org/I66752286
161,Ilya,Kiselev,,0000-0002-8630-1108,Nessuna,14,900,Breitmeier Messtechnik GmbH,,,,External,
162,Fanglong,Liu,,0000-0002-7706-186X,Nessuna,5,151,Baidu,,,,External,https://openalex.org/I98301712
163,Dries,De Maeyer,,0000-0002-1314-3348,Nessuna,11,1405,Unknown affiliation,,,,External,
164,Andreas,Dräger,Professor,0000-0002-1240-5553,"Information Visualization, Systems Biology Modeling, Software Engineering",36,6842,Martin Luther University Halle-Wittenberg,,,,External,https://openalex.org/I68956291
165,Rui,Song,,0000-0002-3383-6504,Nessuna,37,5236,North Carolina State University,,,,External,https://openalex.org/I137902535
166,DongWon,Park,,0000-0001-9146-9872,Nessuna,30,3601,Unknown affiliation,,,,External,
167,Fabio,Sartori,,0000-0001-8653-8837,Nessuna,16,807,Professor do Programa de Pós Graduação em Engenharia de Produção e Sistemas - PPGEPS UNISINOS,,,,External,
168,seung wook,kim,,0000-0003-1817-2516,Nessuna,14,1793,NVIDIA,,,,External,https://openalex.org/I4210127875
169,Franziska,Klügl,Professor,0000-0002-1470-6288,"Multiagent Systems, Artificial Intelligence, Modelling and Simulation, Visual Programming",,,Örebro Universitet,,,,External,https://openalex.org/I26437253
170,bingchen,Li,,0000-0001-7802-8642,Nessuna,16,779,Harvard Medical School,,,,External,
171,Carlos,De Niz,Research Fellow,0000-0003-3832-0280,"Bioinformatics, Computational Biology, Data Science, Engineering",5,164,Harvard Medical School,,,,External,
172,Divi Galih Prasetyo,Putri,,0009-0000-7783-9937,Nessuna,6,112,Universitas Gadjah Mada,,,,External,https://openalex.org/I165230279
173,Lukas,Endler,Postdoc,0000-0002-9115-8756,Nessuna,20,4021,Medizinische Universität Wien,,,,External,https://openalex.org/I76134821
174,Paolo,Baili,,0000-0003-0335-2418,Nessuna,,,Fondazione IRCCS Istituto Nazionale dei Tumori,,,,External,https://openalex.org/I4210156707
175,Zhi-Kai,Huang,,0000-0003-1252-2001,Nessuna,11,750,National Taiwan University,,,,External,https://openalex.org/I16733864
176,Samuel,Kaski,Professor,0000-0003-1925-9154,"machine learning, probabilistic modeling, information visualization, computational biology, computational medicine, bioinformatics, brain signal analysis, information retrieval, proactive interfaces, user modeling",73,21895,Aalto University,,,,External,https://openalex.org/I9927081
177,Pierre,Neuvial,,0000-0003-3584-9998,Nessuna,20,11884,Institut de Mathématiques de Toulouse,,,,External,https://openalex.org/I84500057
178,Hongwei,Yong,Research Assistant Professo,0000-0001-7603-6497,Nessuna,19,3354,Hong Kong Polytechnic University,,,,External,https://openalex.org/I14243506
179,Fu,Li,,0000-0003-4080-8736,Nessuna,40,64699,Baylor College of Medicine,,,,External,https://openalex.org/I181547552
180,Yuanfang,Guan,,0000-0001-8275-2852,Nessuna,,,University of Michigan,,,,External,https://openalex.org/I27837315
181,Ana Belen,Malpartida,,0009-0006-3175-4544,Nessuna,5,427,LMU München,,,,External,
182,Tao-tao,Zhang,,0000-0003-4661-4959,Nessuna,6,288,Chinese Academy of Sciences,,,,External,https://openalex.org/I19820366
183,Sandi,Gec,,0000-0003-2331-4523,Nessuna,,,University of Ljubljana,,,,External,https://openalex.org/I153976015
184,Emek,Demir,Associate Professor,0000-0002-3663-7113,Nessuna,39,11039,Oregon University,,,,External,https://openalex.org/I131249849
185,Gabriele,Ferrario,Research Associate,0000-0001-8876-6323,Nessuna,6,83,University of Bologna,,,,External,https://openalex.org/I9360294
186,Marcello,Gallucci,,0000-0003-3546-0093,Nessuna,42,8416,University of Milano-Bicocca,,,,External,https://openalex.org/I66752286
187,BO,WANG,,0000-0002-3060-1419,Nessuna,162,145991,普林斯顿大学物理学教授,,,,External,https://openalex.org/I20089843
188,Pekka,Marttinen,,0000-0001-7078-7927,Nessuna,34,10000,Aalto University,,,,External,https://openalex.org/I9927081
189,David,Knowles,JET Safety Liason  ,0000-0002-4235-6844,Nessuna,38,10991,UKAEA,,,,External,
190,Joseph,Usset,Data Scientist,0000-0002-5820-9881,"Statistics, Bioinformatics, Data Science",8,543,Apple Inc,,,,External,
191,Óscar,Espitia,,0000-0002-6035-2994,Nessuna,26,2310,Universidad de Granada,,,,External,https://openalex.org/I173304897
192,Ali,Hmaity,,0000-0003-4424-0674,Nessuna,95,55403,Humanity,,,,External,https://openalex.org/I4210160261
193,Aurélien,Naldi,Researcher,0000-0002-6495-2655,Nessuna,27,4938,Inria Centre de Recherche Saclay-Île-de-France,,,,External,https://openalex.org/I4210101348
194,Dylan,Skola,Bioinformatics Scientist,0000-0002-3655-1643,Nessuna,,,"Illumina, Inc.",,,,External,
195,silvia,spinelli,,0000-0003-4492-1680,Nessuna,59,10792,UNLP,,,,External,https://openalex.org/I874386039
196,DAVIDE,MASPERO,,0000-0002-4268-6827,Nessuna,13,541,Centre Nacional d’Anàlisi Genòmica,,,,External,
197,Xiaobing,Wang,,0000-0003-3495-0795,Nessuna,78,19100,John Hopkins University,,,,External,https://openalex.org/I145311948
198,Bumjun,Park,Associate Professor,0000-0003-3783-8272,Nessuna,40,5201,Kyung Hee University,,,,External,https://openalex.org/I35928602
199,Hanwen,Liu,,0000-0002-5393-9594,Nessuna,20,1865,Curtin University,,,,External,https://openalex.org/I205640436
200,Andrey,Ignatov,,0009-0003-6945-3489,Nessuna,23,3768,ETH Zurich,,,,External,https://openalex.org/I35440088
201,Chuansheng,Wang,Research Fellow,0000-0001-7409-7448,Nessuna,8,242,National University of Singapore,,,,External,https://openalex.org/I165932596
202,Giulia,Pugliese,,0009-0006-3378-160X,Nessuna,,,Gemelli University Polyclinic,,,,External,https://openalex.org/I2802557943
203,Alexander T. J.,Barron,Post-doctoral Associate,0000-0002-3761-7683,Nessuna,5,327,NYU Abu Dhabi,,,,External,https://openalex.org/I120250893
204,Mauro,Dell'Amico,Full professor,0000-0002-3283-6131,Nessuna,,,Università degli Studi di Modena e Reggio Emilia,,,,External,https://openalex.org/I122346577
205,MIJIN,KWON,,0000-0003-3767-2153,Nessuna,4,64,Samsung Electronics,,,,External,
206,Tjeerd,Dijkstra,,0000-0002-4450-701X,"Systems Biology, Bioinformatics, Machine Learning",24,2494,University Clinic Tubingen,,,,External,https://openalex.org/I8087733
207,Julia,Hopkins,Professor,0000-0002-0447-9157,Nessuna,122,67248,John Hopkins University,,,,External,https://openalex.org/I145311948
208,Samik,Ghosh,Assistant Professor,0000-0002-1633-0130,Nessuna,135,87194,Indian Institute of Technology Hyderabad,,,,External,https://openalex.org/I65181880
209,peter,morales,,0000-0002-9871-0806,Nessuna,8,303,Microsoft,,,,External,https://openalex.org/I1290206253
210,Salman,Khan,,0000-0003-2402-363X,Nessuna,77,26180,Australian National University,,,,External,https://openalex.org/I118347636
211,Bo,van Engelen,PhD,0000-0002-1652-3944,Nessuna,,,Maastricht University,,,,External,https://openalex.org/I34352273
212,junyu,chen,,0000-0002-7194-5218,Nessuna,32,2994,Sichuan University,,,,External,https://openalex.org/I24185976
213,Simone,Scaboro,,0000-0003-2533-1298,Nessuna,6,64,University of Udine,,,,External,https://openalex.org/I129043915
214,Jinseub,Hwang,,0000-0002-3805-1546,"Statistics, Bayesian, Medical Statistics, Daegu University",20,1870,Daegu University,,,,External,https://openalex.org/I9323808
215,Riccardo,Riva,,0000-0002-2042-5669,"Solid Earth Geophysics, Global Geodynamics, Sea Level Change, Glacial Isostatic Adjustment, Viscoelastic deformation, Post-seismic Deformation",39,6302,Delft University of Technology,,,,External,https://openalex.org/I98358874
216,Stefano,Pirro,,0000-0001-5160-7396,"Bolometers, Double beta decay",,,INFN resercher,,,,External,
217,liye,he,Postdoc,0000-0003-1797-9385,Nessuna,11,1221,University of Helsinki,,,,External,https://openalex.org/I133731052
218,Chongyi,Li,Professor,0000-0003-3953-7692,Nessuna,47,13718,Nankai University,,,,External,https://openalex.org/I205237279
219,Yulun,Zhang,Associate Professor ,0000-0002-4068-5361,Nessuna,51,22298,Shanghai Jiao Tong University,,,,External,https://openalex.org/I183067930
220,Di,He,,0000-0002-1735-6279,Nessuna,43,9911,Peking University,,,,External,https://openalex.org/I20231570
221,Ioannis,Xenarios,,0000-0002-3413-6841,"computational biology, bioinformatics, immunology, biochemistry",87,58873,Genome Center,,,,External,https://openalex.org/I4210151462
222,Eyal,Ben Zion,Data Scientist,0000-0003-3046-2217,"Machine Learning, Data Scientist, Statistics",5,238,Cerebri AI,,,,External,
223,Yanlin,Qian,,0000-0003-3216-7852,Nessuna,9,581,Tampere University,,,,External,https://openalex.org/I166825849
224,John,See,,0000-0003-3005-4109,Nessuna,37,5141,Heriot-Watt University,,,,External,https://openalex.org/I32062511
225,Mathilde,Bateson,,0000-0002-3931-8249,Nessuna,9,401,ETS Montréal,,,,External,
226,Ryan,Miller,Associate Professor of Higher Education,0000-0002-1855-9887,Nessuna,61,29326,UNC Charlotte,,,,External,https://openalex.org/I102149020
227,Angeliki-Ilektra,Karaiskou,,0000-0001-7982-1941,Nessuna,1,1,KU Leuven,,,,External,https://openalex.org/I99464096
228,Kyung,Kim,,0000-0002-7353-6362,Nessuna,62,25885,Kyung Hee University,,,,External,https://openalex.org/I35928602
229,Lucia,Clemente,,0000-0002-9617-2813,COVID-19; rendimiento escolar; educación online; estudiantes universitarios; educación superior,4,44,Instituto de Investigaciones Biológicas Clemente Estable,,,,External,https://openalex.org/I4210157419
230,MARIO,MAURI,,0000-0002-5876-6215,Nessuna,15,934,University of Milano-Bicocca,,,,External,https://openalex.org/I66752286
231,Rim,Faiz,,0000-0003-4952-2136,Nessuna,17,1141,Université de Carthage,,,,External,https://openalex.org/I179097149
232,Lester,Mackey,,0000-0002-1102-0387,Nessuna,41,6379,Microsoft Research,,,,External,https://openalex.org/I4210164937
233,Stephen,Capuzzi,Postdoctoral Fellow,0000-0003-0001-8211,"Computational Chemistry, Cheminformatics, Bioinformatics, Protein-Protein Interactions, Structure-based Docking, Molecular Dynamics, Molecular Modeling, Data Mining, Small-world Networks, Exome Analysis, Cell Culture, Molecular Biology, NMR",26,2048,UNC Catalyst for Rare Diseases,,,,External,https://openalex.org/I114027177
234,Antonia,Bertolino,Research Director,0000-0001-8749-1356,Nessuna,49,9234,Consiglio Nazionale delle Ricerche,,,,External,
235,Juntae,Kim,,0000-0003-0318-0118,Nessuna,40,4805,Elsevier,,,,External,
236,Xiumei ,Wang ,,0000-0001-9380-5235,Nessuna,10,2298,Xidian University,,,,External,https://openalex.org/I149594827
237,Lodewyk,Wessels,Professor,0000-0002-1656-6995,Nessuna,96,50306,Delft University of Technology,,,,External,https://openalex.org/I98358874
238,Peter,Gehler,,0000-0002-5812-4052,"computer vision, machine learning",42,16053,Amazon,,,,External,https://openalex.org/I1311688040
239,Eiji,Kaneko,,0000-0003-1840-5551,Nessuna,5,68,NEC Corporation,,,,External,
240,Arnoldo ,Frigessi,,0000-0001-7103-7589,Nessuna,46,9309,University of Oslo,,,,External,https://openalex.org/I184942183
241,Abdullah M.,Khamis,,0000-0002-5945-0159,Nessuna,6,545,King Abdullah University of Science and Technology ,,,,External,https://openalex.org/I71920554
242,Davide,Rossi,Associate Professor,0000-0002-7764-6745,Nessuna,40,6184,University Of Bologna,,,,External,https://openalex.org/I9360294
243,Douglas,Kell,,0000-0001-5838-7963,"Systems Biology - omics - analytics - iron - drug transporters, deep learning - microbial dormancy",133,74485,The University of Manchester,,,,External,
244,Mushthofa,Mushthofa,Lecturer & Researcher,0000-0003-4991-4148,"artificial intelligence, machine learning, bioinformatics, declarative programming, network biology",16,3312,Bogor Agricultural University,,,,External,
245,Francesco,Calimeri,Associate Professor ,0009-0009-7447-1204,Nessuna,27,3078,University of Calabria,,,,External,https://openalex.org/I45204951
246,Camir,Ricketts,PhD Candidate,0000-0001-9614-7610,Nessuna,10,730,Weill Cornell Medicine,,,,External,https://openalex.org/I4387153466
247,Xiaotao,Wang,,0000-0003-4078-6514,Nessuna,13,966,Fudan University,,,,External,https://openalex.org/I24943067
248,Sabarinathan,Sabarinathan,Business Consultant: Medical Writing Services,0009-0005-1904-3718,Nessuna,27,9585,Tata Consultancy Services ,,,,External,https://openalex.org/I55215948
249,Hannah,Carter,Associate Professor,0000-0003-0492-3569,Nessuna,45,31353,University of California San Diego,,,,External,https://openalex.org/I36258959
250,Alok,Sharma,,0000-0002-5329-7405,Nessuna,61,15282,KTH Royal Institute of Technology,,,,External,https://openalex.org/I86987016
251,Armando,Santoro,Director of Humanitas Cancer Center,0000-0003-1709-9492,"Humanitas Clinical and Research Center – IRCCS -, via Manzoni 56, 20089 Rozzano (Mi) – Italy",123,84674,IRCCS Humanitas Research Hospital,,,,External,https://openalex.org/I4210163047
252,Shijie,Zhao,,0000-0001-5035-4104,Nessuna,34,5247,CMAR,,,,External,
253,Lieven,Verbeke,,0000-0003-1909-8119,Nessuna,23,4171,Centrica Business Solutions,,,,External,
254,Joaquin,Dopazo,Director,0000-0003-3318-120X,Nessuna,90,36735,Fundación Progreso y Salud,,,,External,https://openalex.org/I4210086910
255,FABIO,MADEDDU,,0000-0003-3768-770X,Nessuna,29,4525,University of Milano-Bicocca,,,,External,https://openalex.org/I66752286
256,Emanuele ,Aiello,,0000-0001-7133-4137,Nessuna,11,583,A.O.U. Policlinico Vittorio Emanuele di Catania,,,,External,https://openalex.org/I39063666
257,Amir,Bernat,Algorithms engineer,0000-0003-4439-3953,Nessuna,4,105,MobileODT inc.,,,,External,
258,Pengju,Liu,,0000-0001-6424-6139,Nessuna,34,3959,Chinese Academy of Geological Science,,,,External,https://openalex.org/I3124059619
259,James,Karp,"ESD group manager, Principal Eng.",0000-0001-5712-0036,Nessuna,4,63,Xilinx Inc,,,,External,
260,Tim,Herpelinck,,0000-0002-4500-4676,Nessuna,5,169,KU Leuven,,,,External,https://openalex.org/I99464096
261,Marcos,da Silva Almeida,,0000-0002-1109-6306,Nessuna,11,556,University Pierre Marie Curie,,,,External,
262,Chaitra,Desai,,0000-0001-6835-0136,Nessuna,12,388,KLE Technological University,,,,External,https://openalex.org/I3132975163
263,Jouhyun,Jeon,Principal Investigator,0000-0003-2236-2849,Nessuna,18,1104,Klick Inc,,,,External,
264,Li-Li,Zhang,,0000-0002-5195-1418,Nessuna,2,17,"HUE, China.",,,,External,
265,Kazutoshi,Akita,,0000-0002-4170-5344,"Object Detection, Super Resolution",17,945,Akita University,,,,External,https://openalex.org/I203765153
266,Seo-Won,Ji,,0000-0001-8700-8440,Nessuna,9,966,Korea University,,,,External,https://openalex.org/I197347611
267,Sanja,Baric,Associate Professor,0000-0002-4359-3817,Nessuna,23,2383,Free University of Bozen-Bolzano,,,,External,https://openalex.org/I171543936
268,LUCA,CROCIANI,Post-Doctoral Researcher,0000-0002-4660-4622,"Modelling and Simulation, Artificial Intelligence, Complex Systems, Traffic Dynamics",,,University of Milano-Bicocca,,,,External,https://openalex.org/I66752286
269,rui,XIN,,0000-0001-8369-6936,Nessuna,32,4883,Tongji University,,,,External,https://openalex.org/I116953780
270,Pengliang,Tang,,0009-0008-9519-0092,Nessuna,1,92,Beijing University of Posts and Telecommunications,,,,External,https://openalex.org/I139759216
271,Zhezhu,Jin,,0000-0001-8512-1415,Nessuna,5,190,Samsung Research China-Beijing,,,,External,
272,Shakarim,Soltanayev,,0000-0003-3184-6933,Nessuna,7,469,Sony Interactive Entertainment,,,,External,
273,Ruiqi,Wu,,0000-0002-2919-4158,Nessuna,6,316,Nankai University,,,,External,https://openalex.org/I205237279
274,Boaz,Lerner,,0000-0003-0165-3663,Nessuna,28,2303,Ben-Gurion University of the Negev,,,,External,https://openalex.org/I124227911
275,Kevin,Shopsowitz,,0000-0003-3988-0837,Nessuna,28,5508,University of British Columbia,,,,External,https://openalex.org/I141945490
276,Fatima,ES-SABERY,,0000-0002-6158-4148," DataMining, BigData ,WSNs, fuzzy systems, machine learning, deep l",7,197,Unknown affiliation,,,,External,
277,xiangyu,chen,,0000-0002-6419-273X,Nessuna,58,12492,Chinese Academy of Science,,,,External,https://openalex.org/I4210088861
278,Takeshi,Hase,,0000-0001-6679-6935,Nessuna,14,1284,The System Biology Institute,,,,External,
279,Johan,Elf,senior consultant,0000-0003-0006-4082,Nessuna,46,12789,Skånes universitetssjukhus Lund Hematologiska kliniken,,,,External,
280,Siyuan,Yang,,0000-0002-4881-7760,Nessuna,26,1922,Wuhan University of Technology,,,,External,https://openalex.org/I196699116
281,Gordon,Ball,,0000-0001-7175-422X,Nessuna,9,770,University of Minnesota,,,,External,https://openalex.org/I130238516
282,Eugene,Muratov,,0000-0003-4616-7036,Nessuna,56,13528,University of North Carolina,,,,External,https://openalex.org/I114027177
283,Maitreya,Suin,,0000-0002-0004-181X,Nessuna,19,1392,Johns Hopkins University,,,,External,https://openalex.org/I145311948
284,Seonyeong,Park,,0000-0003-1767-6448,Nessuna,8,275,University of Illinois Urbana-Champaign,,,,External,https://openalex.org/I157725225
285,Colin,Gillespie,CTO,0000-0003-1787-0275,Nessuna,31,2828,Jumping Rivers,,,,External,
286,Catalina,Anghel,Computational Research Scientist,0000-0001-7569-5319,Nessuna,6,239,Canadian Nuclear Laboratories,,,,External,https://openalex.org/I51057645
287,John,Reid,Assistant Professor,0000-0002-7390-2094,"Restoration Ecology, Tropical Forest Restoration, Seed Dispersal, Epiphyte, Restoration Longevity, Bird, Bat, Costa Rica",83,34385,Virginia Tech,,,,External,https://openalex.org/I859038795
